session,protocol,src-address,src-port,dst-address,dst-port,flow,service,tcp-state,resolved,mark,cc,asn,threat,description,modified,validation_name
2023-11-30_16-23-00,tcp,185.224.128.184,739,43.247.13.66,80,IN.bound,,established,,,NL,AS62068 spectraip b.v.,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 09:11:58.881,
2023-11-30_16-23-00,tcp,185.224.128.184,8545,43.247.13.70,80,IN.bound,,established,,in-utama.c,NL,AS62068 spectraip b.v.,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 09:11:58.881,
2023-11-30_16-23-00,tcp,185.224.128.184,29475,43.247.13.66,80,IN.bound,,established,,,NL,AS62068 spectraip b.v.,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 09:11:58.881,
2023-11-30_16-23-00,tcp,185.224.128.184,26861,43.247.13.64,80,IN.bound,,established,,in-utama.c,NL,AS62068 spectraip b.v.,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 09:11:58.881,
2023-11-30_16-23-00,tcp,185.224.128.184,12651,103.234.253.173,80,IN.bound,,established,,in-utama.c,NL,AS62068 spectraip b.v.,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 09:11:58.881,
2023-11-30_16-23-00,tcp,192.168.1.220,61676,40.79.141.152,443,OUT.bound,https,established,,INTL.c,FR,AS8075 microsoft corporation,Investigation of Distribution Vectors and Threat Network Infrastructure,https://www.virustotal.com/gui/collection/27233a89c864ba0e77e672a8909fd63b4a8b6d457c9e4ff219f2a3e47d,2023-11-27 07:26:03.810,Cloud Provider IP range
2023-11-30_16-23-00,tcp,185.224.128.184,12343,43.247.13.65,80,IN.bound,,established,,in-utama.c,NL,AS62068 spectraip b.v.,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 09:11:58.881,
2023-11-30_16-23-00,tcp,185.224.128.184,22453,103.234.253.173,80,IN.bound,,established,,in-utama.c,NL,AS62068 spectraip b.v.,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 09:11:58.881,
2023-11-30_16-23-00,tcp,185.224.128.184,9813,43.247.13.64,80,IN.bound,,established,,in-utama.c,NL,AS62068 spectraip b.v.,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 09:11:58.881,
2023-11-30_16-23-00,tcp,185.224.128.184,29429,43.247.13.68,80,IN.bound,,established,,in-utama.c,NL,AS62068 spectraip b.v.,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 09:11:58.881,
2023-11-30_16-23-00,tcp,45.221.111.29,14036,43.247.13.64,47360,IN.bound,,established,,in-utama.c,TR,AS328543 african network information center,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 09:11:58.881,
2023-11-30_16-23-00,tcp,195.85.201.201,30120,43.247.13.71,47820,IN.bound,,established,,in-utama.c,TR,AS211557 oguzhan oktay,ETIC Cybersecurity 2023-11-29 Port Scan,,2023-11-29 22:59:38.184,
2023-11-30_16-23-00,tcp,192.168.1.220,61509,104.208.16.88,443,OUT.bound,https,established,,INTL.c,US,AS8075 microsoft corporation,CVE JAR Found   Massive active Malicious   unlatched issues,Monitoring Tsara Brashears - Extreme cyber attack against documented as alleged SA victim. Non-Adver,2023-11-24 12:03:49.398,Cloud Provider IP range
2023-11-30_16-23-00,tcp,192.168.1.12,49408,20.54.36.229,443,OUT.bound,https,established,,INTL.c,IE,AS8075 microsoft corporation,ETIC Cybersecurity 2023-11-24 Port Scan,,2023-11-24 22:59:14.344,Cloud Provider IP range
2023-11-30_16-23-00,tcp,185.224.128.184,19225,43.247.13.67,80,IN.bound,,established,,in-utama.c,NL,AS62068 spectraip b.v.,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 09:11:58.881,
2023-11-30_16-23-00,tcp,185.224.128.184,18687,43.247.13.68,80,IN.bound,,established,,in-utama.c,NL,AS62068 spectraip b.v.,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 09:11:58.881,
2023-11-30_16-23-00,tcp,185.224.128.184,26205,103.158.129.14,80,IN.bound,,established,,in-backup.c,NL,AS62068 spectraip b.v.,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 09:11:58.881,
2023-11-30_16-23-00,tcp,185.224.128.184,16405,43.247.13.70,80,IN.bound,,established,,in-utama.c,NL,AS62068 spectraip b.v.,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 09:11:58.881,
2023-11-30_16-23-00,tcp,185.224.128.184,2399,103.234.253.173,80,IN.bound,fmpro-fdal,established,,in-utama.c,NL,AS62068 spectraip b.v.,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 09:11:58.881,
2023-11-30_16-23-00,tcp,192.168.1.220,61510,104.208.16.88,443,OUT.bound,https,established,,INTL.c,US,AS8075 microsoft corporation,CVE JAR Found   Massive active Malicious   unlatched issues,Monitoring Tsara Brashears - Extreme cyber attack against documented as alleged SA victim. Non-Adver,2023-11-24 12:03:49.398,Cloud Provider IP range
2023-11-30_16-23-00,tcp,185.224.128.184,13547,43.247.13.70,80,IN.bound,,established,,in-utama.c,NL,AS62068 spectraip b.v.,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 09:11:58.881,
2023-11-30_16-23-00,tcp,185.224.128.184,17087,43.247.13.65,80,IN.bound,,established,,in-utama.c,NL,AS62068 spectraip b.v.,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 09:11:58.881,
2023-11-30_16-23-00,tcp,185.224.128.184,8629,103.158.129.14,80,IN.bound,,established,,in-backup.c,NL,AS62068 spectraip b.v.,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 09:11:58.881,
2023-11-30_16-23-00,tcp,185.224.128.184,7979,43.247.13.64,80,IN.bound,micromuse-ncps,established,,in-utama.c,NL,AS62068 spectraip b.v.,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 09:11:58.881,
2023-11-30_16-23-00,tcp,185.224.128.184,32551,103.234.253.173,80,IN.bound,,established,,in-utama.c,NL,AS62068 spectraip b.v.,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 09:11:58.881,
2023-11-30_16-23-00,tcp,185.224.128.184,12569,43.247.13.67,80,IN.bound,,established,,in-utama.c,NL,AS62068 spectraip b.v.,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 09:11:58.881,
2023-11-30_16-23-00,tcp,185.224.128.184,10035,43.247.13.69,80,IN.bound,,established,,in-utama.c,NL,AS62068 spectraip b.v.,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 09:11:58.881,
2023-11-30_16-23-00,tcp,185.224.128.184,11449,43.247.13.68,80,IN.bound,,established,,in-utama.c,NL,AS62068 spectraip b.v.,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 09:11:58.881,
2023-11-30_16-23-00,tcp,185.224.128.184,551,103.158.129.14,80,IN.bound,cybercash,established,,in-backup.c,NL,AS62068 spectraip b.v.,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 09:11:58.881,
2023-11-30_16-23-00,tcp,185.224.128.184,17317,43.247.13.71,80,IN.bound,,established,,in-utama.c,NL,AS62068 spectraip b.v.,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 09:11:58.881,
2023-11-30_16-23-00,tcp,185.224.128.184,22163,103.234.253.173,80,IN.bound,,established,,in-utama.c,NL,AS62068 spectraip b.v.,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 09:11:58.881,
2023-11-30_16-23-00,tcp,185.224.128.184,23997,43.247.13.66,80,IN.bound,,established,,,NL,AS62068 spectraip b.v.,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 09:11:58.881,
2023-11-30_16-23-00,tcp,185.224.128.184,8199,43.247.13.68,80,IN.bound,vvr-data,established,,in-utama.c,NL,AS62068 spectraip b.v.,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 09:11:58.881,
2023-11-30_16-23-00,tcp,192.168.1.44,39807,142.251.175.94,443,OUT.bound,https,established,,LOKAL.c,US,AS15169 google llc,CVE JAR Found   Massive active Malicious   unlatched issues,Monitoring Tsara Brashears - Extreme cyber attack against documented as alleged SA victim. Non-Adver,2023-11-24 12:03:49.398,
2023-11-30_16-23-00,tcp,185.224.128.184,31703,43.247.13.67,80,IN.bound,,established,,in-utama.c,NL,AS62068 spectraip b.v.,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 09:11:58.881,
2023-11-30_16-23-00,tcp,185.224.128.184,25955,43.247.13.64,80,IN.bound,bf-master,established,,in-utama.c,NL,AS62068 spectraip b.v.,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 09:11:58.881,
