{'.id': '*1', 'type': 'A', 'data': '23.9.193.168', 'name': 'account.sonyentertainmentnetwork.com', 'ttl': '1d', 'static': True, 'timestamp': '2023-11-20 08:52:16 WIB'}
{'.id': '*3', 'type': 'A', 'data': '23.9.193.75', 'name': 'auth.np.ac.playstation.net', 'ttl': '1d', 'static': True, 'timestamp': '2023-11-20 08:52:16 WIB'}
{'.id': '*5', 'type': 'A', 'data': '23.9.195.183', 'name': 'auth.api.sonyentertainmentnetwork.com', 'ttl': '1d', 'static': True, 'timestamp': '2023-11-20 08:52:16 WIB'}
{'.id': '*7', 'type': 'A', 'data': '23.0.182.235', 'name': 'auth.api.np.ac.playstation.net', 'ttl': '1d', 'static': True, 'timestamp': '2023-11-20 08:52:16 WIB'}
{'.id': '*1A', 'type': 'A', 'data': '216.239.38.120', 'name': 'forcesafesearch.google.com', 'ttl': '10m17s', 'static': False, 'timestamp': '2023-11-20 08:52:16 WIB'}
{'.id': '*DF2', 'type': 'NS', 'data': 'l.gtld-servers.net', 'name': 'com', 'ttl': '10m17s', 'static': False, 'timestamp': '2023-11-20 08:52:16 WIB'}
{'.id': '*DF3', 'type': 'NS', 'data': 'i.gtld-servers.net', 'name': 'com', 'ttl': '10m17s', 'static': False, 'timestamp': '2023-11-20 08:52:16 WIB'}
{'.id': '*DF4', 'type': 'NS', 'data': 'b.gtld-servers.net', 'name': 'com', 'ttl': '10m17s', 'static': False, 'timestamp': '2023-11-20 08:52:16 WIB'}
{'.id': '*DF5', 'type': 'NS', 'data': 'f.gtld-servers.net', 'name': 'com', 'ttl': '10m17s', 'static': False, 'timestamp': '2023-11-20 08:52:16 WIB'}
{'.id': '*DF6', 'type': 'NS', 'data': 'k.gtld-servers.net', 'name': 'com', 'ttl': '10m17s', 'static': False, 'timestamp': '2023-11-20 08:52:16 WIB'}
{'.id': '*DF7', 'type': 'NS', 'data': 'g.gtld-servers.net', 'name': 'com', 'ttl': '10m17s', 'static': False, 'timestamp': '2023-11-20 08:52:16 WIB'}
{'.id': '*DF8', 'type': 'NS', 'data': 'h.gtld-servers.net', 'name': 'com', 'ttl': '10m17s', 'static': False, 'timestamp': '2023-11-20 08:52:16 WIB'}
{'.id': '*DF9', 'type': 'NS', 'data': 'm.gtld-servers.net', 'name': 'com', 'ttl': '10m17s', 'static': False, 'timestamp': '2023-11-20 08:52:16 WIB'}
{'.id': '*DFA', 'type': 'NS', 'data': 'j.gtld-servers.net', 'name': 'com', 'ttl': '10m17s', 'static': False, 'timestamp': '2023-11-20 08:52:16 WIB'}
{'.id': '*DFB', 'type': 'NS', 'data': 'd.gtld-servers.net', 'name': 'com', 'ttl': '10m17s', 'static': False, 'timestamp': '2023-11-20 08:52:16 WIB'}
{'.id': '*DFC', 'type': 'NS', 'data': 'a.gtld-servers.net', 'name': 'com', 'ttl': '10m17s', 'static': False, 'timestamp': '2023-11-20 08:52:16 WIB'}
{'.id': '*DFD', 'type': 'NS', 'data': 'c.gtld-servers.net', 'name': 'com', 'ttl': '10m17s', 'static': False, 'timestamp': '2023-11-20 08:52:16 WIB'}
{'.id': '*DFE', 'type': 'NS', 'data': 'e.gtld-servers.net', 'name': 'com', 'ttl': '10m17s', 'static': False, 'timestamp': '2023-11-20 08:52:16 WIB'}
{'.id': '*1815', 'type': 'A', 'data': '103.143.2.219', 'name': 'mail2.adhimix.co.id', 'ttl': '6m59s', 'static': False, 'timestamp': '2023-11-20 08:52:16 WIB'}
{'.id': '*1817', 'type': 'A', 'data': '103.143.2.219', 'name': 'mail.adhimix.co.id', 'ttl': '7m7s', 'static': False, 'timestamp': '2023-11-20 08:52:16 WIB'}
{'.id': '*1820', 'type': 'A', 'data': '204.155.149.43', 'name': '4shared.com', 'ttl': '4m11s', 'static': False, 'timestamp': '2023-11-20 08:52:16 WIB'}
{'.id': '*1821', 'type': 'A', 'data': '204.155.146.95', 'name': '4shared.com', 'ttl': '4m11s', 'static': False, 'timestamp': '2023-11-20 08:52:16 WIB'}
{'.id': '*1822', 'type': 'A', 'data': '204.155.149.41', 'name': '4shared.com', 'ttl': '4m11s', 'static': False, 'timestamp': '2023-11-20 08:52:16 WIB'}
{'.id': '*1823', 'type': 'A', 'data': '204.155.149.42', 'name': '4shared.com', 'ttl': '4m11s', 'static': False, 'timestamp': '2023-11-20 08:52:16 WIB'}
