{'.id': '*1DF3EE', 'type': 'A', 'data': '216.239.38.120', 'name': 'forcesafesearch.google.com', 'ttl': '14m1s', 'static': False, 'timestamp': '2023-11-28 08:34:52 WIB'}
{'.id': '*2C2EC1', 'type': 'NS', 'data': 'ns-348.awsdns-43.com', 'name': 'd95b8rreovzmj.cloudfront.net', 'ttl': '14m57s', 'static': False, 'timestamp': '2023-11-28 08:34:52 WIB'}
{'.id': '*2C2EC2', 'type': 'NS', 'data': 'ns-903.awsdns-48.net', 'name': 'd95b8rreovzmj.cloudfront.net', 'ttl': '14m57s', 'static': False, 'timestamp': '2023-11-28 08:34:52 WIB'}
{'.id': '*2C2EC3', 'type': 'NS', 'data': 'ns-1177.awsdns-19.org', 'name': 'd95b8rreovzmj.cloudfront.net', 'ttl': '14m57s', 'static': False, 'timestamp': '2023-11-28 08:34:52 WIB'}
{'.id': '*2C2EC4', 'type': 'NS', 'data': 'ns-1875.awsdns-42.co.uk', 'name': 'd95b8rreovzmj.cloudfront.net', 'ttl': '14m57s', 'static': False, 'timestamp': '2023-11-28 08:34:52 WIB'}
{'.id': '*2C4527', 'type': 'NS', 'data': 'i.root-servers.net', 'name': '', 'ttl': '14m51s', 'static': False, 'timestamp': '2023-11-28 08:34:52 WIB'}
{'.id': '*2C4528', 'type': 'NS', 'data': 'j.root-servers.net', 'name': '', 'ttl': '14m51s', 'static': False, 'timestamp': '2023-11-28 08:34:52 WIB'}
{'.id': '*2C4529', 'type': 'NS', 'data': 'k.root-servers.net', 'name': '', 'ttl': '14m51s', 'static': False, 'timestamp': '2023-11-28 08:34:52 WIB'}
{'.id': '*2C452A', 'type': 'NS', 'data': 'l.root-servers.net', 'name': '', 'ttl': '14m51s', 'static': False, 'timestamp': '2023-11-28 08:34:52 WIB'}
{'.id': '*2C452B', 'type': 'NS', 'data': 'm.root-servers.net', 'name': '', 'ttl': '14m51s', 'static': False, 'timestamp': '2023-11-28 08:34:52 WIB'}
{'.id': '*2C452C', 'type': 'NS', 'data': 'a.root-servers.net', 'name': '', 'ttl': '14m51s', 'static': False, 'timestamp': '2023-11-28 08:34:52 WIB'}
{'.id': '*2C452D', 'type': 'NS', 'data': 'b.root-servers.net', 'name': '', 'ttl': '14m51s', 'static': False, 'timestamp': '2023-11-28 08:34:52 WIB'}
{'.id': '*2C452E', 'type': 'NS', 'data': 'c.root-servers.net', 'name': '', 'ttl': '14m51s', 'static': False, 'timestamp': '2023-11-28 08:34:52 WIB'}
{'.id': '*2C452F', 'type': 'NS', 'data': 'd.root-servers.net', 'name': '', 'ttl': '14m51s', 'static': False, 'timestamp': '2023-11-28 08:34:52 WIB'}
{'.id': '*2C4530', 'type': 'NS', 'data': 'e.root-servers.net', 'name': '', 'ttl': '14m51s', 'static': False, 'timestamp': '2023-11-28 08:34:52 WIB'}
{'.id': '*2C4531', 'type': 'NS', 'data': 'f.root-servers.net', 'name': '', 'ttl': '14m51s', 'static': False, 'timestamp': '2023-11-28 08:34:52 WIB'}
{'.id': '*2C4532', 'type': 'NS', 'data': 'g.root-servers.net', 'name': '', 'ttl': '14m51s', 'static': False, 'timestamp': '2023-11-28 08:34:52 WIB'}
{'.id': '*2C4533', 'type': 'NS', 'data': 'h.root-servers.net', 'name': '', 'ttl': '14m51s', 'static': False, 'timestamp': '2023-11-28 08:34:52 WIB'}
{'.id': '*2C630C', 'type': 'A', 'data': '198.41.0.4', 'name': 'a.root-servers.net', 'ttl': '14m51s', 'static': False, 'timestamp': '2023-11-28 08:34:52 WIB'}
{'.id': '*2C6770', 'type': 'NS', 'data': 'ns-1483.awsdns-57.org', 'name': 'd19v6bb6c0fjm2.cloudfront.net', 'ttl': '14m35s', 'static': False, 'timestamp': '2023-11-28 08:34:52 WIB'}
{'.id': '*2C6771', 'type': 'NS', 'data': 'ns-178.awsdns-22.com', 'name': 'd19v6bb6c0fjm2.cloudfront.net', 'ttl': '14m35s', 'static': False, 'timestamp': '2023-11-28 08:34:52 WIB'}
