protocol,src-address,src-port,dst-address,dst-port,flow,tcp-state,resolved,mark,cc,asn,threat,description,modified
tcp,185.224.128.184,10185,122.144.6.230,80,IN.bound,established,,,NL,AS62068 spectraip b.v.,ETIC Cybersecurity 2023-11-28 Port Scan,,2023-11-28 01:34:57.057
tcp,185.224.128.184,31251,122.144.6.227,80,IN.bound,established,,,NL,AS62068 spectraip b.v.,ETIC Cybersecurity 2023-11-28 Port Scan,,2023-11-28 01:34:57.057
tcp,185.224.128.184,6409,122.144.6.231,80,IN.bound,established,,,NL,AS62068 spectraip b.v.,ETIC Cybersecurity 2023-11-28 Port Scan,,2023-11-28 01:34:57.057
udp,96.44.142.14,5169,122.144.6.228,5060,IN.bound,,,,US,AS8100 quadranet enterprises llc,ETIC Cybersecurity 2023-11-27 Port Scan,,2023-11-27 22:59:55.478
tcp,185.224.128.184,7687,122.144.6.229,80,IN.bound,established,,,NL,AS62068 spectraip b.v.,ETIC Cybersecurity 2023-11-28 Port Scan,,2023-11-28 01:34:57.057
tcp,185.224.128.184,24849,103.136.6.162,80,IN.bound,established,,,NL,AS62068 spectraip b.v.,ETIC Cybersecurity 2023-11-28 Port Scan,,2023-11-28 01:34:57.057
tcp,185.224.128.184,8437,122.144.6.229,80,IN.bound,established,,,NL,AS62068 spectraip b.v.,ETIC Cybersecurity 2023-11-28 Port Scan,,2023-11-28 01:34:57.057
tcp,49.235.237.222,44990,122.144.6.230,22,IN.bound,established,,,CN,AS45090 shenzhen tencent computer systems company limited,Webscanners 2018-02-09  thru current day,Automated detection of webscanners based on 404,2023-11-28 01:35:07.485
tcp,185.224.128.184,2993,103.136.6.162,80,IN.bound,established,,,NL,AS62068 spectraip b.v.,ETIC Cybersecurity 2023-11-28 Port Scan,,2023-11-28 01:34:57.057
udp,72.251.232.180,5122,122.144.6.226,5060,IN.bound,,,,US,AS29791 internap holding llc,ETIC Cybersecurity 2023-11-28 Port Scan,,2023-11-28 01:35:07.483
tcp,185.224.128.184,32193,122.144.6.225,80,IN.bound,established,,,NL,AS62068 spectraip b.v.,ETIC Cybersecurity 2023-11-28 Port Scan,,2023-11-28 01:34:57.057
tcp,185.224.128.184,28651,122.144.6.224,80,IN.bound,established,,,NL,AS62068 spectraip b.v.,ETIC Cybersecurity 2023-11-28 Port Scan,,2023-11-28 01:34:57.057
udp,72.251.232.180,5122,122.144.6.227,5060,IN.bound,,,,US,AS29791 internap holding llc,ETIC Cybersecurity 2023-11-28 Port Scan,,2023-11-28 01:35:07.483
tcp,185.224.128.184,25061,122.144.6.230,80,IN.bound,established,,,NL,AS62068 spectraip b.v.,ETIC Cybersecurity 2023-11-28 Port Scan,,2023-11-28 01:34:57.057
tcp,185.224.128.184,18273,103.136.6.162,80,IN.bound,established,,,NL,AS62068 spectraip b.v.,ETIC Cybersecurity 2023-11-28 Port Scan,,2023-11-28 01:34:57.057
