{'.id': '*2CE788', 'type': 'A', 'data': '172.67.177.52', 'name': 'freeanimesonline.com', 'ttl': '3m31s', 'static': False, 'timestamp': '2023-11-28 09:02:40 WIB'}
{'.id': '*2CE789', 'type': 'A', 'data': '104.21.59.121', 'name': 'freeanimesonline.com', 'ttl': '3m31s', 'static': False, 'timestamp': '2023-11-28 09:02:40 WIB'}
{'.id': '*2CE78A', 'type': 'NS', 'data': 'd.root-servers.net', 'name': '', 'ttl': '14m56s', 'static': False, 'timestamp': '2023-11-28 09:02:40 WIB'}
{'.id': '*2CE78B', 'type': 'NS', 'data': 'e.root-servers.net', 'name': '', 'ttl': '14m56s', 'static': False, 'timestamp': '2023-11-28 09:02:40 WIB'}
{'.id': '*2CE78C', 'type': 'NS', 'data': 'f.root-servers.net', 'name': '', 'ttl': '14m56s', 'static': False, 'timestamp': '2023-11-28 09:02:40 WIB'}
{'.id': '*2CE78D', 'type': 'NS', 'data': 'g.root-servers.net', 'name': '', 'ttl': '14m56s', 'static': False, 'timestamp': '2023-11-28 09:02:40 WIB'}
{'.id': '*2CE78E', 'type': 'NS', 'data': 'h.root-servers.net', 'name': '', 'ttl': '14m56s', 'static': False, 'timestamp': '2023-11-28 09:02:40 WIB'}
{'.id': '*2CE78F', 'type': 'NS', 'data': 'i.root-servers.net', 'name': '', 'ttl': '14m56s', 'static': False, 'timestamp': '2023-11-28 09:02:40 WIB'}
{'.id': '*2CE790', 'type': 'NS', 'data': 'j.root-servers.net', 'name': '', 'ttl': '14m56s', 'static': False, 'timestamp': '2023-11-28 09:02:40 WIB'}
{'.id': '*2CE791', 'type': 'NS', 'data': 'k.root-servers.net', 'name': '', 'ttl': '14m56s', 'static': False, 'timestamp': '2023-11-28 09:02:40 WIB'}
{'.id': '*2CE792', 'type': 'NS', 'data': 'l.root-servers.net', 'name': '', 'ttl': '14m56s', 'static': False, 'timestamp': '2023-11-28 09:02:40 WIB'}
{'.id': '*2CE793', 'type': 'NS', 'data': 'm.root-servers.net', 'name': '', 'ttl': '14m56s', 'static': False, 'timestamp': '2023-11-28 09:02:40 WIB'}
{'.id': '*2CE794', 'type': 'NS', 'data': 'a.root-servers.net', 'name': '', 'ttl': '14m56s', 'static': False, 'timestamp': '2023-11-28 09:02:40 WIB'}
{'.id': '*2CE795', 'type': 'NS', 'data': 'b.root-servers.net', 'name': '', 'ttl': '14m56s', 'static': False, 'timestamp': '2023-11-28 09:02:40 WIB'}
{'.id': '*2CE796', 'type': 'NS', 'data': 'c.root-servers.net', 'name': '', 'ttl': '14m56s', 'static': False, 'timestamp': '2023-11-28 09:02:40 WIB'}
{'.id': '*2CE797', 'type': 'A', 'data': '193.0.14.129', 'name': 'k.root-servers.net', 'ttl': '14m56s', 'static': False, 'timestamp': '2023-11-28 09:02:40 WIB'}
{'.id': '*2CE798', 'type': 'A', 'data': '198.41.0.4', 'name': 'a.root-servers.net', 'ttl': '14m56s', 'static': False, 'timestamp': '2023-11-28 09:02:40 WIB'}
{'.id': '*2CE799', 'type': 'A', 'data': '104.21.47.123', 'name': 'siteget.net', 'ttl': '3m53s', 'static': False, 'timestamp': '2023-11-28 09:02:40 WIB'}
{'.id': '*2CE79A', 'type': 'A', 'data': '172.67.147.163', 'name': 'siteget.net', 'ttl': '3m53s', 'static': False, 'timestamp': '2023-11-28 09:02:40 WIB'}
{'.id': '*2CE79B', 'type': 'CNAME', 'data': 'd95b8rreovzmj.cloudfront.net', 'name': 'btweb.trontv.com', 'ttl': '3m54s', 'static': False, 'timestamp': '2023-11-28 09:02:40 WIB'}
{'.id': '*2CE7A0', 'type': 'A', 'data': '52.84.251.89', 'name': 'd95b8rreovzmj.cloudfront.net', 'ttl': '52s', 'static': False, 'timestamp': '2023-11-28 09:02:40 WIB'}
{'.id': '*2CE7A1', 'type': 'A', 'data': '52.84.251.29', 'name': 'd95b8rreovzmj.cloudfront.net', 'ttl': '52s', 'static': False, 'timestamp': '2023-11-28 09:02:40 WIB'}
{'.id': '*2CE7A2', 'type': 'A', 'data': '52.84.251.70', 'name': 'd95b8rreovzmj.cloudfront.net', 'ttl': '52s', 'static': False, 'timestamp': '2023-11-28 09:02:40 WIB'}
{'.id': '*2CE7A3', 'type': 'A', 'data': '52.84.251.37', 'name': 'd95b8rreovzmj.cloudfront.net', 'ttl': '52s', 'static': False, 'timestamp': '2023-11-28 09:02:40 WIB'}
{'.id': '*2CE7A4', 'type': 'NS', 'data': 'ns-903.awsdns-48.net', 'name': 'd95b8rreovzmj.cloudfront.net', 'ttl': '14m54s', 'static': False, 'timestamp': '2023-11-28 09:02:40 WIB'}
{'.id': '*2CE7A5', 'type': 'NS', 'data': 'ns-1177.awsdns-19.org', 'name': 'd95b8rreovzmj.cloudfront.net', 'ttl': '14m54s', 'static': False, 'timestamp': '2023-11-28 09:02:40 WIB'}
{'.id': '*2CE7A6', 'type': 'NS', 'data': 'ns-1875.awsdns-42.co.uk', 'name': 'd95b8rreovzmj.cloudfront.net', 'ttl': '14m54s', 'static': False, 'timestamp': '2023-11-28 09:02:40 WIB'}
{'.id': '*2CE7A7', 'type': 'NS', 'data': 'ns-348.awsdns-43.com', 'name': 'd95b8rreovzmj.cloudfront.net', 'ttl': '14m54s', 'static': False, 'timestamp': '2023-11-28 09:02:40 WIB'}
