indicator,asn,country_code2,name,description,modified,created
107.196.10.20,AS7018 att services inc,US,,,,
109.248.6.78,AS213220 alexander m. belov,RU,ETIC Cybersecurity 2023-11-21 Port Scan,,2023-11-21T09:48:13.057000,2023-11-20T23:00:36.968000
41.111.178.10,AS36947 african network information center,DZ,ETIC Cybersecurity 2023-11-21 Port Scan,,2023-11-21T09:48:25.424000,2023-11-20T23:00:36.968000
185.233.19.253,AS7029 windstream communications llc,PK,ETIC Cybersecurity 2023-11-21 Port Scan,,2023-11-21T09:48:25.130000,2023-11-20T23:00:36.968000
102.216.213.42,ASNone ,,ETIC Cybersecurity 2023-11-21 Port Scan,,2023-11-21T09:48:25.130000,2023-11-20T23:00:36.968000
47.32.184.95,AS20115 charter communications,US,,,,
72.251.232.180,AS29791 internap holding llc,US,ETIC Cybersecurity 2023-11-21 Port Scan,,2023-11-21T09:48:38.737000,2023-11-20T23:00:36.968000
192.241.200.74,AS14061 digitalocean  llc,US,IP Addresses Logged by the Rosethorn PotNet,Malicious activity detections from a small network of honeypots that spans multiple ISPs and geograp,2023-11-21T09:47:24.462000,2023-03-27T16:17:36.094000
175.103.43.90,AS38320 pt maxindo mitra solusi,ID,,,,
65.32.96.18,AS33363 charter communications  inc,US,,,,
82.156.69.142,AS45090 shenzhen tencent computer systems company limited,CN,,,,
180.253.166.4,AS7713 pt telekomunikasi indonesia,ID,,,,
103.166.49.103,AS139460 pt maxindo mitra solusi,ID,,,,
198.235.24.43,AS396982 google,CA,ETIC Cybersecurity 2023-11-21 Port Scan,,2023-11-21T09:48:38.737000,2023-11-20T23:00:36.968000
70.94.160.190,AS11427 charter communications inc,US,,,,
99.77.90.39,AS7018 att services inc,US,,,,
51.79.248.26,AS16276 ovh sas,SG,ETIC Cybersecurity 2023-11-09 Port Scan,,2023-11-09T21:39:12.570000,2023-11-08T23:01:14.680000
146.196.111.81,AS139460 pt maxindo mitra solusi,ID,,,,
175.103.46.94,AS139460 pt maxindo mitra solusi,ID,,,,
198.235.24.22,AS396982 google,CA,IP Addresses Logged by the Rosethorn PotNet,Logs of IP trying to hack into my Particle Photon and Cloud Honeypot instance,2023-11-21T09:47:45.267000,2021-02-16T13:14:16.945000
5.253.86.208,AS208046 maximilian kutzner,US,ETIC Cybersecurity 2023-11-21 Port Scan,,2023-11-21T09:48:51.241000,2023-11-20T23:00:36.968000
173.174.175.117,AS11427 charter communications inc,US,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,2023-01-01T00:00:05.491000
188.165.253.193,AS16276 ovh sas,FR,ETIC Cybersecurity 2023-11-20 Port Scan,,2023-11-20T23:00:11.182000,2023-11-19T23:00:45.737000
125.164.8.95,AS7713 pt telekomunikasi indonesia,ID,,,,
140.213.48.147,AS24203 pt xl axiata,ID,,,,
139.255.11.198,AS9905 linknet,ID,,,,
74.194.163.138,AS19108 suddenlink communications,US,,,,
