protocol,src-address,src-port,dst-address,dst-port,tcp-state,connection-mark,resolved,flow
tcp,203.123.56.246,58441.0,134.119.183.60,80.0,established,,,OUT.bound
tcp,203.123.56.246,39158.0,35.213.190.132,443.0,established,,,OUT.bound
udp,203.123.56.246,51071.0,34.110.200.237,443.0,,,,OUT.bound
tcp,203.123.56.246,58464.0,20.190.163.21,443.0,established,,,OUT.bound
tcp,203.123.56.246,43564.0,142.251.12.188,5228.0,established,,,OUT.bound
tcp,203.123.56.246,56103.0,2.59.169.86,80.0,established,,,OUT.bound
tcp,203.123.56.246,43292.0,142.251.10.100,443.0,established,,,OUT.bound
tcp,203.123.56.246,59714.0,115.238.23.30,80.0,last-ack,,,OUT.bound
udp,203.123.56.246,51617.0,34.110.200.237,443.0,,,,OUT.bound
tcp,203.123.56.246,39698.0,35.213.190.132,443.0,established,,,OUT.bound
tcp,203.123.56.246,49174.0,135.148.150.100,443.0,established,,,OUT.bound
udp,203.123.56.246,52709.0,122.144.1.1,53.0,,,,OUT.bound
tcp,203.123.56.246,63315.0,87.240.137.207,443.0,time-wait,,,OUT.bound
tcp,203.123.56.246,53132.0,18.139.106.172,443.0,established,,,OUT.bound
udp,203.123.56.246,60298.0,157.240.208.60,443.0,,,,OUT.bound
tcp,203.123.56.246,43520.0,206.84.112.29,443.0,close,,,OUT.bound
udp,203.123.56.246,53505.0,122.144.1.1,53.0,,,,OUT.bound
udp,203.123.56.246,39272.0,23.214.169.158,443.0,,,,OUT.bound
tcp,203.123.56.246,54312.0,69.173.158.64,443.0,established,,,OUT.bound
udp,203.123.56.246,59283.0,142.251.12.95,443.0,,,,OUT.bound
udp,203.123.56.246,45835.0,34.111.174.196,443.0,,,,OUT.bound
tcp,203.123.56.246,57012.0,13.33.88.79,443.0,established,,,OUT.bound
tcp,203.123.56.246,49164.0,199.232.47.9,443.0,established,,,OUT.bound
udp,203.123.56.246,56023.0,122.144.1.1,53.0,,,,OUT.bound
udp,203.123.56.246,58848.0,34.107.238.235,443.0,,,,OUT.bound
tcp,203.123.56.246,51210.0,163.70.153.21,443.0,established,,,OUT.bound
udp,203.123.56.246,58274.0,148.153.184.114,6102.0,,,,OUT.bound
tcp,203.123.56.246,49215.0,217.160.192.232,443.0,established,,,OUT.bound
udp,203.123.56.246,36587.0,142.251.175.95,443.0,,,,OUT.bound
tcp,203.123.56.246,46756.0,163.70.153.34,443.0,established,,,OUT.bound
tcp,203.123.56.246,55542.0,157.240.208.33,443.0,established,,,OUT.bound
tcp,203.123.56.246,49155.0,92.223.85.164,443.0,established,,,OUT.bound
tcp,185.120.145.83,9001.0,203.123.56.246,49166.0,established,,,IN.bound
udp,203.123.56.246,46999.0,34.117.36.110,443.0,,,,OUT.bound
udp,203.123.56.246,64852.0,109.236.90.198,48213.0,,,,OUT.bound
tcp,203.123.56.246,55449.0,172.253.118.95,443.0,established,,,OUT.bound
tcp,203.123.56.246,59750.0,23.48.173.10,443.0,established,,,OUT.bound
tcp,203.123.56.246,56965.0,2.59.169.42,80.0,established,,,OUT.bound
tcp,203.123.56.246,50639.0,185.82.216.48,443.0,syn-sent,,,OUT.bound
tcp,203.123.56.246,57087.0,157.240.208.35,443.0,close,,,OUT.bound
tcp,203.123.56.246,59458.0,18.161.97.59,443.0,established,,,OUT.bound
tcp,203.123.56.246,55460.0,23.219.116.180,443.0,established,,,OUT.bound
tcp,203.123.56.246,50581.0,172.67.141.182,80.0,established,,,OUT.bound
udp,203.123.56.246,57327.0,23.214.169.158,443.0,,,,OUT.bound
udp,146.196.110.84,57155.0,122.144.1.1,53.0,,,,OUT.bound
tcp,203.123.56.246,62688.0,172.67.223.2,443.0,established,,,OUT.bound
tcp,203.123.56.246,50636.0,185.82.216.62,443.0,established,,,OUT.bound
