protocol,src-address,src-port,dst-address,dst-port,flow,tcp-state,resolved,mark,cc,asn,threat,description,modified
udp,175.103.46.158,52294,142.251.175.94,443,OUT.bound,,,speedtest.c,US,AS15169 google llc,CVE JAR Found   Massive active Malicious   unlatched issues,Monitoring Tsara Brashears - Extreme cyber attack against documented as alleged SA victim. Non-Adver,2023-11-24 12:03:49.398
tcp,185.10.68.123,443,175.103.46.158,55469,IN.bound,established,,speedtest.c,SC,AS200651 flokinet ltd,IOC Records Provided by @NextRayAI,This IOC report provided and daily updated by NextRay AI Detection & Response Inc.,2023-11-26 20:30:44.043
tcp,31.13.95.34,443,175.103.46.158,35776,IN.bound,established,,speedtest.c,ID,AS32934 facebook  inc.,IOC Records Provided by @NextRayAI,This IOC report provided and daily updated by NextRay AI Detection & Response Inc.,2023-11-26 20:30:44.043
tcp,175.103.46.158,49717,34.120.208.123,443,OUT.bound,last-ack,,,US,AS396982 google,IOC Records Provided by @NextRayAI,This IOC report provided and daily updated by NextRay AI Detection & Response Inc.,2023-11-26 20:30:44.043
tcp,175.103.46.158,49719,34.120.208.123,443,OUT.bound,last-ack,,,US,AS396982 google,IOC Records Provided by @NextRayAI,This IOC report provided and daily updated by NextRay AI Detection & Response Inc.,2023-11-26 20:30:44.043
tcp,175.103.46.158,49718,34.120.208.123,443,OUT.bound,last-ack,,,US,AS396982 google,IOC Records Provided by @NextRayAI,This IOC report provided and daily updated by NextRay AI Detection & Response Inc.,2023-11-26 20:30:44.043
tcp,175.103.46.158,49722,34.120.208.123,443,OUT.bound,last-ack,,,US,AS396982 google,IOC Records Provided by @NextRayAI,This IOC report provided and daily updated by NextRay AI Detection & Response Inc.,2023-11-26 20:30:44.043
tcp,175.103.46.158,49721,34.120.208.123,443,OUT.bound,last-ack,,,US,AS396982 google,IOC Records Provided by @NextRayAI,This IOC report provided and daily updated by NextRay AI Detection & Response Inc.,2023-11-26 20:30:44.043
tcp,175.103.46.158,49720,34.120.208.123,443,OUT.bound,last-ack,,,US,AS396982 google,IOC Records Provided by @NextRayAI,This IOC report provided and daily updated by NextRay AI Detection & Response Inc.,2023-11-26 20:30:44.043
tcp,175.103.46.158,59162,52.252.198.177,443,OUT.bound,established,,speedtest.c,US,AS8075 microsoft corporation,,,2023-11-25 05:02:44.879
tcp,175.103.46.158,51343,52.183.220.149,443,OUT.bound,close,,speedtest.c,US,AS8075 microsoft corporation,Support &amp; Help Centre   TELUS,,2023-11-29 00:02:07.512
tcp,175.103.46.158,51342,52.183.220.149,443,OUT.bound,close,,speedtest.c,US,AS8075 microsoft corporation,Support &amp; Help Centre   TELUS,,2023-11-29 00:02:07.512
tcp,175.103.46.158,49724,34.120.208.123,443,OUT.bound,established,,,US,AS396982 google,IOC Records Provided by @NextRayAI,This IOC report provided and daily updated by NextRay AI Detection & Response Inc.,2023-11-26 20:30:44.043
tcp,175.103.46.158,49725,34.120.208.123,443,OUT.bound,established,,,US,AS396982 google,IOC Records Provided by @NextRayAI,This IOC report provided and daily updated by NextRay AI Detection & Response Inc.,2023-11-26 20:30:44.043
tcp,175.103.46.158,49723,34.120.208.123,443,OUT.bound,established,,,US,AS396982 google,IOC Records Provided by @NextRayAI,This IOC report provided and daily updated by NextRay AI Detection & Response Inc.,2023-11-26 20:30:44.043
tcp,175.103.46.158,49726,34.120.208.123,443,OUT.bound,established,,,US,AS396982 google,IOC Records Provided by @NextRayAI,This IOC report provided and daily updated by NextRay AI Detection & Response Inc.,2023-11-26 20:30:44.043
tcp,175.103.46.158,51297,52.152.180.154,443,OUT.bound,established,,speedtest.c,US,AS8075 microsoft corporation,,,2023-11-25 05:02:44.879
