indicator,asn,country_code2,name,description,modified,created
175.103.43.90,AS38320 pt maxindo mitra solusi,ID,,,,
43.134.120.219,AS132203 tencent building  kejizhongyi avenue,SG,,,,
43.133.45.194,AS132203 tencent building  kejizhongyi avenue,SG,,,,
54.255.247.221,AS16509 amazon.com inc,SG,,,,
45.89.228.144,AS49392 llc baxet,RU,,,,
142.250.4.95,AS15169 google llc,US,,,,
20.189.173.9,AS8075 microsoft corporation,US,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,2023-01-01T00:00:05.491000
43.128.74.37,AS132203 tencent building  kejizhongyi avenue,SG,,,,
43.134.53.107,AS132203 tencent building  kejizhongyi avenue,SG,,,,
172.104.174.27,AS63949 linode  llc,SG,,,,
43.128.118.190,AS132203 tencent building  kejizhongyi avenue,SG,,,,
31.13.68.61,AS32934 facebook  inc.,SG,,,,
101.32.248.90,AS132203 tencent building  kejizhongyi avenue,SG,,,,
103.107.199.6,AS137409 gsl networks pty ltd,SG,,,,
185.10.68.123,AS200651 flokinet ltd,SC,IOC Records Provided by @NextRayAI,This IOC report provided and daily updated by NextRay AI Detection & Response Inc.,2023-11-26T20:30:44.043000,2022-10-11T13:14:18.676000
157.240.199.61,AS32934 facebook  inc.,HK,,,,
3.33.193.183,AS16509 amazon.com inc,US,,,,
172.217.194.95,AS15169 google llc,US,,,,
103.107.198.22,AS137409 gsl networks pty ltd,SG,,,,
23.216.158.48,AS7713 pt telekomunikasi indonesia,ID,,,,
142.251.85.8,AS15169 google llc,US,,,,
31.13.95.34,AS32934 facebook  inc.,ID,IOC Records Provided by @NextRayAI,This IOC report provided and daily updated by NextRay AI Detection & Response Inc.,2023-11-26T20:30:44.043000,2022-10-11T13:14:18.676000
139.180.158.87,AS20473 the constant company  llc,SG,,,,
142.251.12.95,AS15169 google llc,US,,,,
157.240.235.60,AS32934 facebook  inc.,SG,,,,
74.125.24.94,AS15169 google llc,US,,,,
20.212.31.164,AS8075 microsoft corporation,US,,,,
18.163.242.58,AS16509 amazon.com inc,HK,,,,
188.42.84.151,AS7979 servers.com  inc.,LU,,,,
188.42.84.152,AS7979 servers.com  inc.,LU,,,,
188.42.84.150,AS7979 servers.com  inc.,LU,,,,
103.40.108.1,AS59149 pt. tujuh delapan sembilan net,ID,Scan port 445 SMB (S3#),Scans hitting the server at TCP port 445 SMB. Same IP should not appear more than once in 96 hours i,2023-10-19T22:01:26.319000,2023-09-19T22:17:54.548000
,,,,,,
47.236.101.216,ASNone ,US,,,,
43.198.50.186,AS16509 amazon.com inc,US,,,,
23.216.158.10,AS7713 pt telekomunikasi indonesia,ID,,,,
103.66.70.62,AS133840 pt jala lintas media,ID,,,,
157.240.217.60,AS32934 facebook  inc.,SG,,,,
23.216.158.19,AS7713 pt telekomunikasi indonesia,ID,,,,
13.228.104.163,AS16509 amazon.com inc,SG,,,,
103.107.198.18,AS137409 gsl networks pty ltd,SG,,,,
34.208.203.4,AS16509 amazon.com inc,US,,,,
209.58.183.231,AS59253 leaseweb asia pacific pte. ltd.,SG,,,,
20.198.119.143,AS8075 microsoft corporation,IN,,,,
52.184.212.181,AS8075 microsoft corporation,US,,,,
184.25.236.160,AS7713 pt telekomunikasi indonesia,ID,,,,
64.233.170.95,AS15169 google llc,US,,,,
92.223.85.121,AS199524 g-core labs s.a.,SG,,,,
47.241.125.77,AS45102 alibaba (us) technology co.  ltd.,SG,,,,
