protocol,src-address,src-port,dst-address,dst-port,tcp-state,connection-mark
icmp,175.103.43.90,,175.103.46.158,,,speedtest.c
tcp,54.255.247.221,13501,175.103.46.158,50302,established,
tcp,175.103.43.90,58705,146.196.111.218,899,established,speedtest.c
tcp,54.255.247.221,13501,175.103.46.158,44712,established,
tcp,175.103.46.158,60324,23.216.158.123,80,established,speedtest.c
tcp,175.103.46.158,55628,35.213.190.132,443,established,speedtest.c
icmp,175.103.46.158,,175.103.46.157,,,speedtest.c
tcp,175.103.46.158,63015,23.216.158.130,80,established,speedtest.c
tcp,101.32.248.90,800,175.103.46.158,44654,established,speedtest.c
tcp,175.103.46.158,63023,13.107.5.93,443,established,speedtest.c
tcp,175.103.46.158,63022,184.25.236.145,443,established,speedtest.c
tcp,175.103.46.158,62054,162.125.81.17,443,established,speedtest.c
udp,175.103.46.158,5678,192.168.124.1,53,,speedtest.c
udp,64.233.170.95,443,175.103.46.158,58824,,speedtest.c
udp,175.103.46.158,5678,192.168.1.1,53,,speedtest.c
udp,175.103.46.158,5678,192.168.122.1,53,,speedtest.c
udp,175.103.46.158,5678,192.168.121.1,53,,speedtest.c
tcp,13.228.104.163,8084,175.103.46.158,44290,established,speedtest.c
tcp,175.103.46.158,58157,209.58.183.231,6568,established,
tcp,175.103.46.158,44290,43.134.120.219,800,established,speedtest.c
tcp,175.103.46.158,33130,43.128.74.37,800,established,speedtest.c
tcp,175.103.46.158,55182,52.184.216.226,443,established,speedtest.c
tcp,175.103.46.158,46294,43.134.53.107,800,established,speedtest.c
tcp,175.103.46.158,48316,43.133.45.194,800,established,speedtest.c
tcp,43.134.120.219,799,175.103.46.158,54828,established,
tcp,175.103.46.158,39316,74.125.130.102,443,established,speedtest.c
tcp,23.216.158.146,80,175.103.46.158,60323,established,speedtest.c
tcp,157.240.7.54,443,175.103.46.158,49838,established,speedtest.c
tcp,54.255.247.221,13501,175.103.46.158,33502,established,
tcp,43.128.118.190,799,175.103.46.158,37538,established,
udp,175.103.46.158,53082,142.251.175.94,443,,speedtest.c
tcp,175.103.46.158,39314,74.125.130.102,443,established,speedtest.c
udp,175.103.46.158,50712,74.125.130.102,443,,speedtest.c
tcp,175.103.46.158,50825,162.125.81.17,443,established,speedtest.c
tcp,43.134.120.219,799,175.103.46.158,55822,established,
tcp,43.134.53.107,799,175.103.46.158,46568,established,speedtest.c
tcp,43.128.118.190,799,175.103.46.158,37556,established,
tcp,175.103.46.158,64499,157.240.13.54,443,established,speedtest.c
tcp,175.103.46.158,40162,43.133.45.194,800,established,speedtest.c
tcp,43.133.45.194,799,175.103.46.158,39284,established,speedtest.c
tcp,175.103.46.158,48466,103.107.199.6,443,established,
tcp,54.255.247.221,13501,175.103.46.158,36164,established,
tcp,43.134.53.107,799,175.103.46.158,45674,established,
tcp,175.103.46.158,44530,43.128.118.190,800,established,speedtest.c
tcp,175.103.46.158,49835,103.107.198.18,443,established,
tcp,175.103.46.158,49412,172.253.118.188,5228,established,
tcp,175.103.46.158,54808,142.250.190.3,443,established,speedtest.c
tcp,142.250.4.95,443,175.103.46.158,64493,established,speedtest.c
tcp,175.103.46.158,58616,142.251.175.188,5228,established,
tcp,175.103.46.158,64230,20.198.119.143,443,established,speedtest.c
tcp,43.128.74.37,799,175.103.46.158,44086,established,
tcp,43.128.74.37,799,175.103.46.158,44776,established,
udp,172.217.194.95,443,175.103.46.158,60849,,speedtest.c
tcp,172.104.174.27,1194,175.103.46.158,50614,established,speedtest.c
udp,175.103.46.158,53914,122.144.2.204,443,,speedtest.c
tcp,43.128.74.37,799,175.103.46.158,44678,established,
tcp,175.103.46.158,60017,92.223.85.121,443,established,
udp,175.103.46.158,47578,34.117.97.41,443,,speedtest.c
tcp,175.103.46.158,52670,104.118.145.217,80,established,speedtest.c
tcp,101.32.248.90,799,175.103.46.158,47086,established,
tcp,175.103.46.158,49268,157.240.15.61,443,established,speedtest.c
tcp,175.103.46.158,54057,74.125.130.95,443,established,speedtest.c
tcp,43.133.45.194,799,175.103.46.158,50928,established,speedtest.c
tcp,103.107.199.6,80,175.103.46.158,61865,established,
tcp,175.103.46.158,52671,23.223.114.33,80,established,speedtest.c
tcp,157.240.199.61,443,175.103.46.158,56510,established,speedtest.c
tcp,175.103.46.158,49822,36.86.63.182,443,syn-sent,
udp,175.103.46.158,56303,216.239.38.120,443,,speedtest.c
tcp,43.134.53.107,799,175.103.46.158,46388,established,speedtest.c
tcp,43.134.53.107,799,175.103.46.158,46734,established,
tcp,175.103.46.158,54712,43.134.120.219,799,established,speedtest.c
tcp,175.103.46.158,54059,74.125.130.95,443,established,speedtest.c
udp,175.103.46.158,39970,35.186.203.63,443,,speedtest.c
tcp,175.103.46.158,49679,23.106.252.102,443,established,
tcp,43.128.118.190,799,175.103.46.158,38340,established,
tcp,157.240.217.60,443,175.103.46.158,54232,established,speedtest.c
