.id,protocol,src-address,dst-address,reply-src-address,reply-dst-address,gre-key,tcp-state,connection-type,timeout,connection-mark,orig-packets,orig-bytes,orig-fasttrack-packets,orig-fasttrack-bytes,repl-packets,repl-bytes,repl-fasttrack-packets,repl-fasttrack-bytes,orig-rate,repl-rate,expected,seen-reply,assured,confirmed,dying,fasttrack,srcnat,dstnat,icmp-code,icmp-type,icmp-id,timestamp
*494E,tcp,157.240.15.60:443,175.103.46.158:54775,175.103.46.158:54775,157.240.15.60:443,,established,,23h52m53s,speedtest.c,2,1104,0,0,0,0,0,0,0,0,False,False,False,True,False,False,False,False,,,,2023-11-16 10:20:21 WIB
*494F,tcp,175.103.46.158:49408,20.198.118.190:443,20.198.118.190:443,175.103.46.158:49408,,established,,23h59m56s,speedtest.c,4,275,0,0,4,526,0,0,0,0,False,True,True,True,False,False,False,False,,,,2023-11-16 10:20:21 WIB
*4950,tcp,175.103.46.158:44998,74.125.68.101:443,74.125.68.101:443,175.103.46.158:44998,,established,,23h59m58s,speedtest.c,21,2854,0,0,20,9930,0,0,20696,63496,False,True,True,True,False,False,False,False,,,,2023-11-16 10:20:21 WIB
*4951,udp,175.103.46.158:60641,216.239.38.120:443,216.239.38.120:443,175.103.46.158:60641,,,,2m5s,speedtest.c,6,1669,0,0,5,2498,0,0,0,0,False,True,True,True,False,False,False,False,,,,2023-11-16 10:20:21 WIB
*4952,udp,175.103.46.158:56119,172.253.118.138:443,172.253.118.138:443,175.103.46.158:56119,,,,2m19s,speedtest.c,9,3790,0,0,9,2960,0,0,0,0,False,True,True,True,False,False,False,False,,,,2023-11-16 10:20:21 WIB
*4953,tcp,92.223.85.166:6568,175.103.46.158:55711,175.103.46.158:55711,92.223.85.166:6568,,established,,23h59m57s,,100,4240,0,0,100,4020,0,0,0,0,False,True,True,True,False,False,False,False,,,,2023-11-16 10:20:21 WIB
*4954,tcp,175.103.46.158:60826,64.233.170.188:5228,64.233.170.188:5228,175.103.46.158:60826,,established,,23h46m25s,speedtest.c,2,132,0,0,1,78,0,0,0,0,False,True,True,True,False,False,False,False,,,,2023-11-16 10:20:21 WIB
*4955,tcp,175.103.46.158:40380,157.240.235.61:443,157.240.235.61:443,175.103.46.158:40380,,established,,23h59m11s,speedtest.c,29,2024,0,0,29,2128,0,0,0,0,False,True,True,True,False,False,False,False,,,,2023-11-16 10:20:21 WIB
*4956,tcp,101.32.248.90:799,175.103.46.158:44990,175.103.46.158:44990,101.32.248.90:799,,established,,23h59m57s,speedtest.c,73,4313,0,0,73,4370,0,0,0,0,False,True,True,True,False,False,False,False,,,,2023-11-16 10:20:21 WIB
*4957,tcp,175.103.46.158:56179,20.198.119.84:443,20.198.119.84:443,175.103.46.158:56179,,established,,23h58m8s,speedtest.c,5,301,0,0,4,365,0,0,0,0,False,True,True,True,False,False,False,False,,,,2023-11-16 10:20:21 WIB
*4958,udp,175.103.46.158:58165,216.239.38.120:443,216.239.38.120:443,175.103.46.158:58165,,,,1m56s,speedtest.c,7,1730,0,0,6,2551,0,0,0,0,False,True,True,True,False,False,False,False,,,,2023-11-16 10:20:21 WIB
*4959,tcp,175.103.46.158:42062,157.240.211.61:443,157.240.211.61:443,175.103.46.158:42062,,established,,23h58m18s,speedtest.c,17,1140,0,0,17,1262,0,0,0,0,False,True,True,True,False,False,False,False,,,,2023-11-16 10:20:21 WIB
*495A,tcp,175.103.46.158:56598,23.32.246.55:443,23.32.246.55:443,175.103.46.158:56598,,syn-sent,,9s,,4,208,0,0,0,0,0,0,0,0,False,False,False,True,False,False,False,False,,,,2023-11-16 10:20:21 WIB
*495B,tcp,43.134.53.107:799,175.103.46.158:48382,175.103.46.158:48382,43.134.53.107:799,,established,,23h59m58s,speedtest.c,79,7440,0,0,79,7788,0,0,416,416,False,True,True,True,False,False,False,False,,,,2023-11-16 10:20:21 WIB
*495C,tcp,175.103.46.158:54034,31.13.68.61:5222,31.13.68.61:5222,175.103.46.158:54034,,established,,23h59m59s,speedtest.c,53,3403,0,0,53,3754,0,0,1552,1696,False,True,True,True,False,False,False,False,,,,2023-11-16 10:20:21 WIB
*495D,tcp,175.103.46.158:62191,20.189.173.14:443,20.189.173.14:443,175.103.46.158:62191,,close,,1s,speedtest.c,18,6548,0,0,16,5739,0,0,0,0,False,True,True,True,False,False,False,False,,,,2023-11-16 10:20:21 WIB
*495E,tcp,175.103.46.158:41996,157.240.7.20:443,157.240.7.20:443,175.103.46.158:41996,,established,,23h56m49s,speedtest.c,11,1626,0,0,12,8240,0,0,0,0,False,True,True,True,False,False,False,False,,,,2023-11-16 10:20:21 WIB
*495F,tcp,175.103.46.158:42380,35.213.190.132:443,35.213.190.132:443,175.103.46.158:42380,,established,,23h57m11s,speedtest.c,17,2342,0,0,19,2587,0,0,0,0,False,True,True,True,False,False,False,False,,,,2023-11-16 10:20:21 WIB
*4960,tcp,175.103.46.158:49472,20.198.119.84:443,20.198.119.84:443,175.103.46.158:49472,,established,,23h58m15s,speedtest.c,4,362,0,0,2,422,0,0,0,0,False,True,True,True,False,False,False,False,,,,2023-11-16 10:20:21 WIB
*4961,tcp,175.103.46.158:51688,20.198.119.143:443,20.198.119.143:443,175.103.46.158:51688,,established,,23h59m41s,speedtest.c,2,181,0,0,1,211,0,0,0,0,False,True,True,True,False,False,False,False,,,,2023-11-16 10:20:21 WIB
*4962,tcp,175.103.46.158:52830,20.198.119.84:443,20.198.119.84:443,175.103.46.158:52830,,established,,23h59m56s,speedtest.c,5,304,0,0,4,367,0,0,0,0,False,True,True,True,False,False,False,False,,,,2023-11-16 10:20:21 WIB
*4963,tcp,175.103.46.158:44370,157.240.211.61:443,157.240.211.61:443,175.103.46.158:44370,,established,,23h58m22s,speedtest.c,17,1332,0,0,16,1883,0,0,0,0,False,True,True,True,False,False,False,False,,,,2023-11-16 10:20:21 WIB
*4964,tcp,3.217.12.237:443,175.103.46.158:64550,175.103.46.158:64550,3.217.12.237:443,,established,,23h59m3s,speedtest.c,30,1665,0,0,17,1205,0,0,0,0,False,True,True,True,False,False,False,False,,,,2023-11-16 10:20:21 WIB
*4965,tcp,175.103.46.158:52868,20.198.119.143:443,20.198.119.143:443,175.103.46.158:52868,,established,,23h59m57s,speedtest.c,30,2308,0,0,15,3225,0,0,0,0,False,True,True,True,False,False,False,False,,,,2023-11-16 10:20:21 WIB
*4966,tcp,175.103.46.158:49700,142.251.10.95:443,142.251.10.95:443,175.103.46.158:49700,,established,,23h59m58s,speedtest.c,10,2610,0,0,12,2651,0,0,0,0,False,True,True,True,False,False,False,False,,,,2023-11-16 10:20:21 WIB
*4967,tcp,175.103.46.158:48524,23.223.113.227:443,23.223.113.227:443,175.103.46.158:48524,,close,,3s,speedtest.c,20,4430,0,0,19,4377,0,0,0,0,False,True,True,True,False,False,False,False,,,,2023-11-16 10:20:21 WIB
*4968,tcp,157.240.208.34:443,175.103.46.158:49308,175.103.46.158:49308,157.240.208.34:443,,established,,23h51m55s,speedtest.c,6,1606,0,0,6,1316,0,0,0,0,False,True,True,True,False,False,False,False,,,,2023-11-16 10:20:21 WIB
*4969,tcp,175.103.46.158:39436,23.38.195.50:443,23.38.195.50:443,175.103.46.158:39436,,established,,23h59m23s,speedtest.c,12,2517,0,0,10,6476,0,0,0,0,False,True,True,True,False,False,False,False,,,,2023-11-16 10:20:21 WIB
*496A,tcp,43.133.45.194:799,175.103.46.158:36726,175.103.46.158:36726,43.133.45.194:799,,established,,23h59m51s,speedtest.c,107,6248,0,0,107,6618,0,0,0,0,False,True,True,True,False,False,False,False,,,,2023-11-16 10:20:21 WIB
*496B,tcp,175.103.46.158:46198,45.121.219.184:443,45.121.219.184:443,175.103.46.158:46198,,established,,23h58m42s,speedtest.c,43,20413,0,0,46,10318,0,0,0,0,False,True,True,True,False,False,False,False,,,,2023-11-16 10:20:21 WIB
*496C,tcp,125.165.105.241:3840,175.103.46.159:1433,175.103.46.159:1433,125.165.105.241:3840,,syn-sent,,4s,,1,52,0,0,0,0,0,0,0,0,False,False,False,True,False,False,False,False,,,,2023-11-16 10:20:21 WIB
*496D,tcp,175.103.46.158:60949,74.125.130.188:5228,74.125.130.188:5228,175.103.46.158:60949,,established,,23h59m36s,speedtest.c,21,885,0,0,21,1094,0,0,0,0,False,True,True,True,False,False,False,False,,,,2023-11-16 10:20:21 WIB
