Port Number,service
47342,
33402,
44264,
42048,
39804,
34118,
470,scx-proxy
443,https
35472,
48252,
33044,
13501,
23284,
43662,
45436,
35554,
33088,
35566,
33180,
43782,
35558,
35586,
48120,
46294,
43820,
43694,
44106,
38992,
41500,
33242,
43742,
35238,
47210,
40036,
45958,
40012,
799,
34104,
47296,
35484,
46354,
47756,
33034,
34072,
44208,
43638,
32964,
43668,
34122,
43732,
46824,
37148,
48132,
41226,
33092,
36810,
39492,
33300,
40710,
46408,
44480,
46382,
39940,
46318,
33890,digilent-adept
35504,
35530,
43818,
33250,
33780,
44956,
42224,
43698,
48330,
32956,
33190,
44098,
40062,
48170,
33040,
41148,
43966,
11474,
43524,
41514,
47612,
43512,
41382,
35264,
33068,
33472,
47474,
44344,
46396,
40030,
44224,
35546,
45924,
43858,
45482,
44392,
39896,
46442,
34076,
33174,
44228,
41534,
33262,
39932,
33234,
44200,
33086,
40166,
43810,
35288,
35516,
43656,
35398,
43892,
5144,
35372,
46322,
47424,
33254,
5678,rrac
5938,
40912,
44384,
33084,
40018,
33884,
40552,
35496,
33060,mysqlx
35576,
33140,
33304,
32782,
33094,
32894,
32968,
36698,
40914,
40054,
48224,
43504,
33170,
35460,
39870,
46310,
40026,
34140,
43614,
33026,
35534,
44488,
35598,
46032,
44086,
35242,
46302,
45506,
44500,
47282,
35300,
33810,
33012,
43946,
33906,
43708,
33790,
38404,
35476,
35144,
45878,
43562,
36666,
41513,
39926,
34088,
45834,
35444,
43136,
40478,
32842,
40522,
35520,
30120,
36686,
40132,
33024,
32944,
43598,
44252,
44400,
80,http
43522,
35542,
21314,
32774,filenet-re
43670,
42346,
43806,
36262,
42046,
33078,
33266,
34682,
33272,
43874,
44130,
33056,
33636,
40920,
34068,
41602,
38990,
44156,
35452,
39486,
44940,
35282,
43620,
33880,
35594,
40318,
38438,
40076,
34662,
42854,
33340,
46144,
44142,
38058,
43850,
44256,
35358,
35292,
38470,
46392,
40564,
34084,
43984,
47258,
34112,
45612,
39822,
39892,
48228,
41996,
32906,
30110,
40032,
40962,
41478,
44426,
39424,
35448,
40890,
46430,
33132,
44236,
44248,
33028,
43672,
33186,
44340,
40488,
43540,
35570,
33110,
46298,
46274,
43684,
33114,
40110,
43746,
44078,
32922,
34092,
46332,
40942,
42112,
43596,
40950,
33230,
32986,
47422,
33090,
43828,
34148,
44296,
40882,
48618,
44282,
46388,
48216,
36694,
34204,
35434,
44110,
44268,
35316,
40064,
41530,
44440,
33062,
32926,
44416,
33292,
33038,
1029,solid-mux
33666,
46446,
35538,
43826,
43574,
35324,
43690,
44180,
43528,
32934,
45552,
35590,
42202,
44232,
48244,
42130,
34056,
32930,
35420,
32980,
39976,
38972,
46422,
43568,
45460,
41482,
40954,
40156,
47828,
44220,
43734,
35508,
42592,
34064,
48566,
48032,
43702,
33074,
35562,
44194,
48116,
40292,
41876,
36520,
40046,
30054,
33894,
47206,
47288,
24414,
45582,
41730,
45772,
40722,
40716,
33106,
47312,
46404,
44054,
46374,
40874,
45806,
46844,
46528,
46400,
46330,
45870,
33052,
43788,
47316,
35394,
39944,
33124,
40738,
44066,
44240,
41494,
44484,
44784,
43836,
5228,hpvroom
35550,
46340,
35364,
45800,
44356,
43880,
46450,
43722,
43974,
45470,
44348,
35304,
40516,
33064,
46432,
43864,
33258,
46500,
46416,
41742,
47676,
43634,
40120,
41040,
43580,
40872,
44802,
35426,
35390,
33144,
34130,
36002,
48362,
43772,
33214,
34100,
44204,
48338,
46546,
48522,
