Port Number,service
470,scx-proxy
443,https
33890,digilent-adept
5678,rrac
33060,mysqlx
80,http
32774,filenet-re
1029,solid-mux
5228,hpvroom
35354,kitim
3985,mapper-mapethd
48128,isnetserv
5222,xmpp-client
6568,canit-store
48004,nimbusdb
46336,inedo
5061,sips
222,rsh-spx
4001,newoak
5060,sip
53,domain
8883,secure-mqtt
800,mdbs-daemon
3544,teredo
7010,ups-onlinet
8888,ddi-tcp-1
6160,ecmp
1194,openvpn
2000,cisco-sccp
2086,gnunet
2082,infowave
25,smtp
2021,servexec
8080,http-alt
10002,documentum
853,domain-s
1813,radius-acct
1812,radius
514,shell
123,ntp
