protocol,src-address,src-port,dst-address,dst-port,flow,service,tcp-state,resolved,mark,cc,asn,threat,description,modified,validation_name
tcp,175.103.46.158,50782,175.110.114.80,25565,OUT.bound,,established,,,GB,ASNone ,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 07:19:18.206,
tcp,175.103.46.158,47342,175.110.114.80,25565,OUT.bound,,established,,,GB,ASNone ,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 07:19:18.206,
tcp,175.103.46.158,54146,175.110.114.80,222,OUT.bound,rsh-spx,established,,,GB,ASNone ,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 07:19:18.206,
tcp,175.103.46.158,44264,175.110.114.80,25565,OUT.bound,,established,,,GB,ASNone ,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 07:19:18.206,
tcp,175.103.46.158,58664,175.110.114.80,25565,OUT.bound,,established,,,GB,ASNone ,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 07:19:18.206,
tcp,175.103.46.158,39804,175.110.114.80,25565,OUT.bound,,established,,,GB,ASNone ,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 07:19:18.206,
tcp,175.103.46.158,58532,175.110.114.80,25565,OUT.bound,,established,,,GB,ASNone ,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 07:19:18.206,
tcp,175.103.46.158,34118,175.110.114.80,25565,OUT.bound,,established,,,GB,ASNone ,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 07:19:18.206,
tcp,175.103.46.158,51732,175.110.114.80,25565,OUT.bound,,established,,,GB,ASNone ,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 07:19:18.206,
tcp,175.103.46.158,56954,175.110.114.80,25565,OUT.bound,,established,,,GB,ASNone ,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 07:19:18.206,
tcp,175.103.46.158,60202,175.110.114.80,25565,OUT.bound,,established,,,GB,ASNone ,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 07:19:18.206,
tcp,175.103.46.158,54336,175.110.114.80,222,OUT.bound,rsh-spx,established,,,GB,ASNone ,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 07:19:18.206,
tcp,175.103.46.158,58396,175.110.114.80,25565,OUT.bound,,established,,,GB,ASNone ,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 07:19:18.206,
tcp,175.103.46.158,51536,175.110.114.80,25565,OUT.bound,,established,,,GB,ASNone ,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 07:19:18.206,
tcp,175.103.46.158,35472,175.110.114.80,222,OUT.bound,rsh-spx,established,,,GB,ASNone ,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 07:19:18.206,
tcp,175.103.46.158,48252,175.110.114.80,25565,OUT.bound,,established,,,GB,ASNone ,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 07:19:18.206,
tcp,175.103.46.158,33044,175.110.114.80,222,OUT.bound,rsh-spx,established,,,GB,ASNone ,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30 07:19:18.206,
