protocol,src-address,src-port,dst-address,dst-port,flow,service,tcp-state,resolved,mark,cc,asn,threat,description,modified,validation_name
tcp,175.103.46.158,52106,34.120.208.123,443,OUT.bound,https,last-ack,,,US,AS396982 google,IOC Records Provided by @NextRayAI,This IOC report provided and daily updated by NextRay AI Detection & Response Inc.,2023-11-29 20:30:49.916,
tcp,175.103.46.158,52105,34.120.208.123,443,OUT.bound,https,last-ack,,,US,AS396982 google,IOC Records Provided by @NextRayAI,This IOC report provided and daily updated by NextRay AI Detection & Response Inc.,2023-11-29 20:30:49.916,
tcp,175.103.46.158,52108,34.120.208.123,443,OUT.bound,https,last-ack,,,US,AS396982 google,IOC Records Provided by @NextRayAI,This IOC report provided and daily updated by NextRay AI Detection & Response Inc.,2023-11-29 20:30:49.916,
tcp,119.91.208.128,35890,175.103.46.156,6379,IN.bound,,syn-sent,,,CN,AS45090 shenzhen tencent computer systems company limited,ETIC Cybersecurity 2023-11-29 Port Scan,,2023-11-29 22:59:38.184,
tcp,175.103.46.158,65383,52.113.194.132,443,OUT.bound,https,established,,speedtest.c,US,AS8068 microsoft corporation,Investigation of Distribution Vectors and Threat Network Infrastructure,,2023-11-27 07:26:03.810,Whitelisted IP
tcp,175.103.46.158,52109,34.120.208.123,443,OUT.bound,https,last-ack,,,US,AS396982 google,IOC Records Provided by @NextRayAI,This IOC report provided and daily updated by NextRay AI Detection & Response Inc.,2023-11-29 20:30:49.916,
tcp,175.103.46.158,52110,34.120.208.123,443,OUT.bound,https,last-ack,,,US,AS396982 google,IOC Records Provided by @NextRayAI,This IOC report provided and daily updated by NextRay AI Detection & Response Inc.,2023-11-29 20:30:49.916,
tcp,175.103.46.158,52111,34.120.208.123,443,OUT.bound,https,last-ack,,,US,AS396982 google,IOC Records Provided by @NextRayAI,This IOC report provided and daily updated by NextRay AI Detection & Response Inc.,2023-11-29 20:30:49.916,
tcp,119.91.208.128,56556,175.103.46.158,6379,IN.bound,,syn-sent,,,CN,AS45090 shenzhen tencent computer systems company limited,ETIC Cybersecurity 2023-11-29 Port Scan,,2023-11-29 22:59:38.184,
tcp,175.103.46.158,62259,204.79.197.239,443,OUT.bound,https,established,,speedtest.c,US,AS8068 microsoft corporation,SOC2023,,2023-11-29 19:40:41.222,Cloud Provider IP range
tcp,175.103.46.158,52114,34.120.208.123,443,OUT.bound,https,last-ack,,,US,AS396982 google,IOC Records Provided by @NextRayAI,This IOC report provided and daily updated by NextRay AI Detection & Response Inc.,2023-11-29 20:30:49.916,
tcp,175.103.46.158,52102,34.120.208.123,443,OUT.bound,https,last-ack,,,US,AS396982 google,IOC Records Provided by @NextRayAI,This IOC report provided and daily updated by NextRay AI Detection & Response Inc.,2023-11-29 20:30:49.916,
tcp,119.91.208.128,49304,175.103.46.159,6379,IN.bound,,syn-sent,,,CN,AS45090 shenzhen tencent computer systems company limited,ETIC Cybersecurity 2023-11-29 Port Scan,,2023-11-29 22:59:38.184,
tcp,175.103.46.158,52113,34.120.208.123,443,OUT.bound,https,last-ack,,,US,AS396982 google,IOC Records Provided by @NextRayAI,This IOC report provided and daily updated by NextRay AI Detection & Response Inc.,2023-11-29 20:30:49.916,
tcp,175.103.46.158,52104,34.120.208.123,443,OUT.bound,https,last-ack,,,US,AS396982 google,IOC Records Provided by @NextRayAI,This IOC report provided and daily updated by NextRay AI Detection & Response Inc.,2023-11-29 20:30:49.916,
tcp,175.103.46.158,52107,34.120.208.123,443,OUT.bound,https,last-ack,,,US,AS396982 google,IOC Records Provided by @NextRayAI,This IOC report provided and daily updated by NextRay AI Detection & Response Inc.,2023-11-29 20:30:49.916,
tcp,175.103.46.158,52103,34.120.208.123,443,OUT.bound,https,last-ack,,,US,AS396982 google,IOC Records Provided by @NextRayAI,This IOC report provided and daily updated by NextRay AI Detection & Response Inc.,2023-11-29 20:30:49.916,
tcp,175.103.46.158,52112,34.120.208.123,443,OUT.bound,https,last-ack,,,US,AS396982 google,IOC Records Provided by @NextRayAI,This IOC report provided and daily updated by NextRay AI Detection & Response Inc.,2023-11-29 20:30:49.916,
tcp,175.103.46.158,52101,34.120.208.123,443,OUT.bound,https,last-ack,,,US,AS396982 google,IOC Records Provided by @NextRayAI,This IOC report provided and daily updated by NextRay AI Detection & Response Inc.,2023-11-29 20:30:49.916,
