indicator,asn,country_code2,name,description,modified,created,source,message,validation_name
43.134.120.219,AS132203 tencent building  kejizhongyi avenue,SG,,,,,,,
153.0.155.5,AS4837 china unicom china169 backbone,CN,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30T07:42:38.202000,2023-11-29T23:00:27.728000,,,
43.128.74.37,AS132203 tencent building  kejizhongyi avenue,SG,,,,,,,
94.102.61.42,AS202425 ip volume inc,GB,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30T07:42:38.202000,2023-11-29T23:00:27.728000,,,
,,,,,,,,,
20.212.88.117,AS8075 microsoft corporation,US,,,,,,,
43.198.50.186,AS16509 amazon.com inc,US,,,,,,,
146.196.111.222,AS139460 pt maxindo mitra solusi,ID,,,,,,,
31.13.68.60,AS32934 facebook  inc.,SG,,,,,whitelist,contained in whitelisted prefix,Whitelisted IP
175.103.43.90,AS38320 pt maxindo mitra solusi,ID,,,,,,,
172.253.118.188,AS15169 google llc,US,router conns,Proto NATed Address  - 192.5.8  Â£1.4m -  is the latest in a long line of addresses to be considered,2023-03-20T00:01:17.081000,2023-02-17T20:24:01.223000,,,
43.134.53.107,AS132203 tencent building  kejizhongyi avenue,SG,,,,,,,
35.203.210.96,AS396982 google,GB,IP Addresses Logged by the Rosethorn PotNet,Malicious activity detections from a small network of honeypots that spans multiple ISPs and geograp,2023-11-30T07:41:46.366000,2023-03-27T16:17:36.094000,cloud,In cloud provider range: provider=google,Cloud Provider IP range
43.133.45.194,AS132203 tencent building  kejizhongyi avenue,SG,,,,,,,
31.13.95.34,AS32934 facebook  inc.,ID,IOC Records Provided by @NextRayAI,This IOC report provided and daily updated by NextRay AI Detection & Response Inc.,2023-11-29T20:30:49.916000,2022-10-11T13:14:18.676000,whitelist,contained in whitelisted prefix,Whitelisted IP
3.216.157.50,AS14618 amazon.com  inc.,US,,,,,cloud,In cloud provider range: provider=AWS,Cloud Provider IP range
192.53.174.79,AS63949 linode  llc,SG,,,,,,,
188.42.84.151,AS7979 servers.com  inc.,LU,,,,,,,
193.163.125.88,AS211298 constantine cybersecurity ltd.,GB,Georgs Honeypot,Honeypot,2023-11-22T08:03:30.407000,2021-04-07T09:05:05.353000,,,
18.163.242.58,AS16509 amazon.com inc,HK,,,,,cloud,In cloud provider range: provider=AWS,Cloud Provider IP range
157.240.218.61,AS32934 facebook  inc.,SG,,,,,,,
163.70.141.61,ASNone ,FR,,,,,,,
47.246.177.252,ASNone ,US,,,,,,,
77.90.185.184,AS208485 nese mala trading as moon dc,DE,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30T07:43:08.525000,2023-11-29T23:00:27.728000,,,
218.92.0.101,AS4134 chinanet,CN,IOCs - 20231081410 - ANIA Threat Feeds - IP Segment 1,ANIA Collector - Advanced Network Interactive Analysis Collector - Collected from Internet Storm Cen,2023-11-07T22:02:18.651000,2023-10-08T22:10:40.622000,,,
138.199.46.216,AS60068 datacamp limited,SG,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,2023-01-01T00:00:05.491000,,,
157.240.217.61,AS32934 facebook  inc.,SG,,,,,,,
92.223.85.54,AS199524 g-core labs s.a.,SG,,,,,,,
188.42.84.152,AS7979 servers.com  inc.,LU,,,,,,,
142.251.10.188,AS15169 google llc,US,firewall conns,Proto NATed Address  - 192.5.8 Â£1.4m -  is the most popular address on the internet for those tryin,2022-10-03T00:03:36.708000,2022-09-03T14:28:29.224000,,,
155.138.243.251,AS20473 the constant company  llc,US,,,,,,,
43.206.188.149,AS16509 amazon.com inc,US,,,,,,,
167.94.138.156,AS398324 censys  inc.,US,ETIC Cybersecurity 2023-11-29 Port Scan,,2023-11-29T22:59:38.184000,2023-11-28T23:00:20.181000,,,
188.42.84.150,AS7979 servers.com  inc.,LU,,,,,,,
74.125.200.188,AS15169 google llc,US,LCIA:HoneyNet:2023,pulled from router,2023-07-23T12:04:51.473000,2023-05-27T06:06:26.480000,whitelist,contained in whitelisted prefix,Whitelisted IP
64.176.80.9,ASNone ,US,,,,,,,
15.197.193.114,AS16509 amazon.com inc,US,,,,,cloud,In cloud provider range: provider=AWS,Cloud Provider IP range
24.199.86.58,ASNone ,US,,,,,,,
5.181.178.48,AS35913 dedipath,US,LCIA:HoneyNet:2022,,2023-01-30T23:00:04.143000,2022-03-16T14:03:19.241000,,,
31.13.68.61,AS32934 facebook  inc.,SG,,,,,whitelist,contained in whitelisted prefix,Whitelisted IP
20.198.119.84,AS8075 microsoft corporation,IN,,,,,cloud,In cloud provider range: provider=azure,Cloud Provider IP range
20.198.119.143,AS8075 microsoft corporation,IN,,,,,cloud,In cloud provider range: provider=azure,Cloud Provider IP range
216.239.38.120,AS15169 google llc,US,Remcos RAT,Remcos (acronym of Remote Control & Surveillance Software) is a Remote Access Software used to remot,2022-10-02T11:03:36.202000,2022-07-16T10:42:33.303000,whitelist,contained in whitelisted prefix,Whitelisted IP
172.67.70.70,AS13335 cloudflare,US,,,,,cdn,In CDN range: provider=cloudflare,CDN IP ranges
206.84.112.27,AS64315 pt mitra visioner pratama,ID,,,,,,,
31.13.95.40,AS32934 facebook  inc.,ID,,,,,whitelist,contained in whitelisted prefix,Whitelisted IP
216.239.38.178,AS15169 google llc,US,Obfuscated Files or Information,,2023-11-21T17:12:49.783000,2023-11-21T17:12:49.783000,whitelist,contained in whitelisted prefix,Whitelisted IP
156.59.78.182,AS21859 zenlayer inc,SG,,,,,,,
172.253.118.95,AS15169 google llc,US,,,,,,,
142.250.190.3,AS15169 google llc,US,,,,,,,
74.125.130.94,AS15169 google llc,US,,,,,whitelist,contained in whitelisted prefix,Whitelisted IP
157.240.211.61,AS32934 facebook  inc.,HK,,,,,,,
31.13.77.61,AS32934 facebook  inc.,HK,,,,,whitelist,contained in whitelisted prefix,Whitelisted IP
157.240.199.61,AS32934 facebook  inc.,HK,,,,,,,
103.107.198.66,AS137409 gsl networks pty ltd,SG,,,,,,,
142.251.10.95,AS15169 google llc,US,uTorrent seeds from a VM,The world\,2022-12-16T13:03:24.863000,2022-11-16T13:55:36.805000,,,
103.152.36.130,AS140433 pt. colo media netindo,ID,,,,,,,
34.117.36.110,AS396982 google,US,,,,,,,
91.108.56.100,AS62014 telegram messenger inc,AG,,,,,,,
157.240.235.60,AS32934 facebook  inc.,SG,,,,,,,
74.125.68.84,AS15169 google llc,US,,,,,whitelist,contained in whitelisted prefix,Whitelisted IP
206.84.112.29,AS64315 pt mitra visioner pratama,ID,,,,,,,
34.149.173.23,AS15169 google llc,US,,,,,,,
47.74.170.157,AS45102 alibaba (us) technology co.  ltd.,SG,wifi logs to check,"Here is the full text of the key event in the IBSS/ESS (3) system, which has been disabled since its",2022-11-26T03:02:13.742000,2022-10-27T03:04:24.332000,,,
51.159.103.157,AS12876 online s.a.s.,FR,,,,,,,
13.33.88.79,ASNone ,US,,,,,cdn,In CDN range: provider=cloudfront,CDN IP ranges
,,,,,,,,,
35.160.64.44,AS16509 amazon.com inc,US,,,,,cloud,In cloud provider range: provider=AWS,Cloud Provider IP range
20.44.10.122,AS8075 microsoft corporation,US,LCIA:HoneyNet:2022,,2023-01-30T23:00:04.143000,2022-03-16T14:03:19.241000,cloud,In cloud provider range: provider=azure,Cloud Provider IP range
34.36.71.42,ASNone ,US,,,,,,,
172.217.194.93,AS15169 google llc,US,,,,,whitelist,contained in whitelisted prefix,Whitelisted IP
20.198.118.190,AS8075 microsoft corporation,IN,LCIA:HoneyNet:2022,,2023-01-30T23:00:04.143000,2022-03-16T14:03:19.241000,cloud,In cloud provider range: provider=azure,Cloud Provider IP range
142.251.221.106,AS15169 google llc,US,,,,,,,
103.74.143.176,AS46034 departemen kesehatan,ID,,,,,,,
210.210.145.139,AS4787 pt cyberindo aditama,ID,,,,,,,
74.125.200.95,AS15169 google llc,US,,,,,whitelist,contained in whitelisted prefix,Whitelisted IP
172.217.194.95,AS15169 google llc,US,,,,,whitelist,contained in whitelisted prefix,Whitelisted IP
202.180.17.37,AS38758 pt. hipernet indodata,ID,,,,,,,
122.144.1.1,AS38320 pt maxindo mitra solusi,ID,,,,,,,
35.186.203.63,AS15169 google llc,US,,,,,cloud,In cloud provider range: provider=google,Cloud Provider IP range
142.251.175.95,AS15169 google llc,US,,,,,,,
157.240.217.2,AS32934 facebook  inc.,SG,,,,,,,
20.189.173.15,AS8075 microsoft corporation,US,CVE:CVE-1999-0095,An attack on the Sendmail server is being investigated by researchers at the University of Californi,2023-11-21T01:02:17.904000,2023-10-21T06:03:24.907000,cloud,In cloud provider range: provider=azure,Cloud Provider IP range
71.18.36.225,ASNone ,US,,,,,,,
104.22.21.162,AS13335 cloudflare,US,,,,,cdn,In CDN range: provider=cloudflare,CDN IP ranges
157.240.217.60,AS32934 facebook  inc.,SG,,,,,,,
204.155.149.43,AS40824 wz communications inc.,US,,,,,,,
74.125.24.113,AS15169 google llc,US,,,,,whitelist,contained in whitelisted prefix,Whitelisted IP
202.180.17.36,AS38758 pt. hipernet indodata,ID,,,,,,,
36.91.114.83,AS7713 pt telekomunikasi indonesia,ID,IOCs - 2023491242 - ANIA Threat Feeds - IP Segment 5,ANIA Collector - Advanced Network Interactive Analysis Collector - Collected from Internet Storm Cen,2023-05-09T13:02:06.153000,2023-04-09T13:27:35.127000,,,
51.81.245.139,AS16276 ovh sas,US,IOCs - 20231081410 - ANIA Threat Feeds - IP Segment 1,ANIA Collector - Advanced Network Interactive Analysis Collector - Collected from Internet Storm Cen,2023-11-07T22:02:18.651000,2023-10-08T22:10:40.622000,,,
156.59.76.173,AS21859 zenlayer inc,SG,,,,,,,
103.149.176.70,ASNone ,ID,,,,,,,
20.97.190.215,AS8075 microsoft corporation,US,,,,,cloud,In cloud provider range: provider=azure,Cloud Provider IP range
172.64.165.30,AS13335 cloudflare,US,SafeFrame Container,"If you want to know what is going to happen when you create a non-iterable object, try these three p",2022-06-05T00:03:45.266000,2022-05-06T14:01:33.267000,cdn,In CDN range: provider=cloudflare,CDN IP ranges
194.138.240.119,AS9890 atos information technology,DE,,,,,,,
210.210.145.83,AS4787 pt cyberindo aditama,ID,,,,,,,
104.21.2.38,AS13335 cloudflare,US,,,,,cdn,In CDN range: provider=cloudflare,CDN IP ranges
103.107.199.6,AS137409 gsl networks pty ltd,SG,,,,,,,
210.210.145.138,AS4787 pt cyberindo aditama,ID,,,,,,,
13.107.5.88,AS8068 microsoft corporation,US,Jeeng / Powerbox,,2022-06-12T22:01:23.105000,2022-02-15T23:45:35.234000,cloud,In cloud provider range: provider=azure,Cloud Provider IP range
52.25.237.147,AS16509 amazon.com inc,US,,,,,cloud,In cloud provider range: provider=AWS,Cloud Provider IP range
156.59.78.187,AS21859 zenlayer inc,SG,,,,,,,
203.190.242.211,AS24211 detik,ID,,,,,,,
103.173.74.180,AS140443 pt herza digital indonesia,,,,,,,,
118.98.77.106,AS7713 pt telekomunikasi indonesia,ID,,,,,,,
146.196.111.209,AS139460 pt maxindo mitra solusi,ID,,,,,,,
74.125.130.188,AS15169 google llc,US,,,,,whitelist,contained in whitelisted prefix,Whitelisted IP
74.125.24.95,AS15169 google llc,US,,,,,whitelist,contained in whitelisted prefix,Whitelisted IP
52.184.217.37,AS8075 microsoft corporation,US,,,,,cloud,In cloud provider range: provider=azure,Cloud Provider IP range
157.240.218.60,AS32934 facebook  inc.,SG,,,,,,,
206.84.112.18,AS64315 pt mitra visioner pratama,ID,,,,,,,
157.240.218.35,AS32934 facebook  inc.,SG,,,,,,,
31.13.95.60,AS32934 facebook  inc.,ID,,,,,whitelist,contained in whitelisted prefix,Whitelisted IP
54.192.150.103,AS16509 amazon.com inc,US,,,,,cdn,In CDN range: provider=cloudfront,CDN IP ranges
64.233.170.188,AS15169 google llc,US,,,,,whitelist,contained in whitelisted prefix,Whitelisted IP
92.223.85.120,AS199524 g-core labs s.a.,SG,,,,,,,
122.144.3.6,AS38320 pt maxindo mitra solusi,ID,,,,,,,
117.18.232.200,AS15133 verizon,AU,CVE JAR Found | Massive active Malicious | unlatched issues,Monitoring Tsara Brashears - Extreme cyber attack against documented as alleged SA victim. Non-Adver,2023-11-24T12:03:49.398000,2023-10-25T18:39:18.723000,whitelist,contained in whitelisted prefix,Whitelisted IP
34.117.97.41,AS396982 google,US,,,,,,,
