indicator,asn,country_code2,name,description,modified,created,source,message,validation_name
175.103.43.90,AS38320 pt maxindo mitra solusi,ID,,,,,,,
101.32.248.90,AS132203 tencent building  kejizhongyi avenue,SG,,,,,,,
31.13.68.60,AS32934 facebook  inc.,SG,,,,,whitelist,contained in whitelisted prefix,Whitelisted IP
91.92.248.9,AS34368 zonata - natskovi & sie ltd.,BG,,,,,,,
43.128.74.37,AS132203 tencent building  kejizhongyi avenue,SG,,,,,,,
43.133.45.194,AS132203 tencent building  kejizhongyi avenue,SG,,,,,,,
43.134.53.107,AS132203 tencent building  kejizhongyi avenue,SG,,,,,,,
157.240.211.61,AS32934 facebook  inc.,HK,,,,,,,
157.240.199.61,AS32934 facebook  inc.,HK,,,,,,,
43.134.120.219,AS132203 tencent building  kejizhongyi avenue,SG,,,,,,,
54.255.247.221,AS16509 amazon.com inc,SG,,,,,cloud,In cloud provider range: provider=AWS,Cloud Provider IP range
18.163.242.58,AS16509 amazon.com inc,HK,,,,,cloud,In cloud provider range: provider=AWS,Cloud Provider IP range
92.223.85.54,AS199524 g-core labs s.a.,SG,,,,,,,
43.206.188.149,AS16509 amazon.com inc,US,,,,,,,
138.199.46.216,AS60068 datacamp limited,SG,LCIA:HoneyNet:2023,,2023-06-24T12:00:07.021000,2023-01-01T00:00:05.491000,,,
47.246.177.254,ASNone ,US,,,,,,,
157.240.218.61,AS32934 facebook  inc.,SG,,,,,,,
3.216.157.50,AS14618 amazon.com  inc.,US,,,,,cloud,In cloud provider range: provider=AWS,Cloud Provider IP range
192.53.174.79,AS63949 linode  llc,SG,,,,,,,
43.198.50.186,AS16509 amazon.com inc,US,,,,,,,
44.237.77.38,AS16509 amazon.com inc,US,,,,,cloud,In cloud provider range: provider=AWS,Cloud Provider IP range
218.92.0.101,AS4134 chinanet,CN,IOCs - 20231081410 - ANIA Threat Feeds - IP Segment 1,ANIA Collector - Advanced Network Interactive Analysis Collector - Collected from Internet Storm Cen,2023-11-07T22:02:18.651000,2023-10-08T22:10:40.622000,,,
31.13.95.175,AS32934 facebook  inc.,ID,,,,,whitelist,contained in whitelisted prefix,Whitelisted IP
15.197.193.114,AS16509 amazon.com inc,US,,,,,cloud,In cloud provider range: provider=AWS,Cloud Provider IP range
146.196.111.214,AS139460 pt maxindo mitra solusi,ID,,,,,,,
125.167.49.87,AS7713 pt telekomunikasi indonesia,ID,,,,,,,
24.199.86.58,ASNone ,US,,,,,,,
116.147.37.17,AS140716 unicom jiangsu wuxi idc network,CN,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30T08:37:27.542000,2023-11-29T23:00:27.728000,,,
130.44.212.234,AS396986 bytedance inc.,US,,,,,,,
155.138.243.251,AS20473 the constant company  llc,US,,,,,,,
146.196.111.212,AS139460 pt maxindo mitra solusi,ID,,,,,,,
64.176.80.9,ASNone ,US,,,,,,,
103.107.198.66,AS137409 gsl networks pty ltd,SG,,,,,,,
157.240.217.60,AS32934 facebook  inc.,SG,,,,,,,
31.13.95.9,AS32934 facebook  inc.,ID,,,,,whitelist,contained in whitelisted prefix,Whitelisted IP
157.240.7.26,AS32934 facebook  inc.,SG,,,,,whitelist,contained in whitelisted prefix,Whitelisted IP
157.240.235.60,AS32934 facebook  inc.,SG,,,,,,,
36.89.220.201,AS7713 pt telekomunikasi indonesia,ID,,,,,,,
142.251.12.154,AS15169 google llc,US,random connectsions looking for anything sus,Here is the full list of addresses you can now use to get to and from the UK via your mobile phone  ,2022-08-27T00:02:51.006000,2022-07-28T02:30:46.040000,,,
74.125.130.93,AS15169 google llc,US,,,,,whitelist,contained in whitelisted prefix,Whitelisted IP
157.240.235.63,AS32934 facebook  inc.,SG,Apple iTunes  Malicious site   Anonyization   Siphoning   Trojan Downloader,IC3 attached to links  apple   messaging  Skype. nIC3 CN? nChina? Unclear. Possibly intercepting  IC,2023-11-12T17:01:15.222000,2023-10-13T18:20:24.042000,,,
184.25.236.195,AS7713 pt telekomunikasi indonesia,ID,,,,,whitelist,contained in whitelisted prefix,Whitelisted IP
36.89.220.137,AS7713 pt telekomunikasi indonesia,ID,,,,,,,
74.125.200.95,AS15169 google llc,US,,,,,whitelist,contained in whitelisted prefix,Whitelisted IP
103.107.199.6,AS137409 gsl networks pty ltd,SG,,,,,,,
172.232.251.34,AS20940 akamai international b.v.,US,,,,,,,
31.13.95.63,AS32934 facebook  inc.,ID,,,,,whitelist,contained in whitelisted prefix,Whitelisted IP
92.223.85.121,AS199524 g-core labs s.a.,SG,,,,,,,
157.240.235.61,AS32934 facebook  inc.,SG,,,,,,,
52.25.237.147,AS16509 amazon.com inc,US,,,,,cloud,In cloud provider range: provider=AWS,Cloud Provider IP range
64.233.170.188,AS15169 google llc,US,,,,,whitelist,contained in whitelisted prefix,Whitelisted IP
23.219.204.66,AS4230 claro s.a.,BR,,,,,,,
92.223.85.120,AS199524 g-core labs s.a.,SG,,,,,,,
216.239.38.120,AS15169 google llc,US,Remcos RAT,Remcos (acronym of Remote Control & Surveillance Software) is a Remote Access Software used to remot,2022-10-02T11:03:36.202000,2022-07-16T10:42:33.303000,whitelist,contained in whitelisted prefix,Whitelisted IP
213.227.167.133,AS42473 anexia internetdienstleistungs gmbh,AU,conns,The full list of candidates for the 2016 General Election has been released.. and here are the key p,2022-09-03T00:03:41.487000,2022-08-04T05:37:21.195000,,,
51.159.103.157,AS12876 online s.a.s.,FR,,,,,,,
20.198.118.190,AS8075 microsoft corporation,IN,LCIA:HoneyNet:2022,,2023-01-30T23:00:04.143000,2022-03-16T14:03:19.241000,cloud,In cloud provider range: provider=azure,Cloud Provider IP range
194.138.37.194,AS15465 siemens ag,DE,,,,,,,
172.104.174.27,AS63949 linode  llc,SG,,,,,,,
8.8.8.8,AS15169 google llc,US,,,,,false_positive,Known False Positive,Known False Positive
142.251.10.94,AS15169 google llc,US,alt-YouTube.com,,2023-09-24T14:00:05.977000,2023-08-25T14:43:56.683000,,,
