session,protocol,src-address,src-port,dst-address,dst-port,flow,service,tcp-state,resolved,mark,cc,asn,threat,description,modified,validation_name
2023-11-30_14-26-01,tcp,175.103.46.158,50230,101.32.248.90,799,OUT.bound,,established,,speedtest.c,SG,AS132203 tencent building  kejizhongyi avenue,,,,
2023-11-30_14-26-01,tcp,175.103.46.158,50782,175.110.114.80,25565,OUT.bound,,established,,,GB,ASNone ,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30T07:19:18.206000,
2023-11-30_14-26-01,tcp,175.103.46.158,47342,175.110.114.80,25565,OUT.bound,,established,,,GB,ASNone ,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30T07:19:18.206000,
2023-11-30_14-26-01,udp,167.94.138.106,33402,175.103.46.156,5061,IN.bound,,,,speedtest.c,US,AS398324 censys  inc.,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30T07:17:29.153000,
2023-11-30_14-26-01,tcp,175.103.46.158,54146,175.110.114.80,222,OUT.bound,rsh-spx,established,,,GB,ASNone ,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30T07:19:18.206000,
2023-11-30_14-26-01,tcp,175.103.46.158,44264,175.110.114.80,25565,OUT.bound,,established,,,GB,ASNone ,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30T07:19:18.206000,
2023-11-30_14-26-01,tcp,175.103.46.158,58664,175.110.114.80,25565,OUT.bound,,established,,,GB,ASNone ,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30T07:19:18.206000,
2023-11-30_14-26-01,tcp,175.103.46.158,42048,31.13.68.61,443,OUT.bound,https,established,,speedtest.c,SG,AS32934 facebook  inc.,,,,Whitelisted IP
2023-11-30_14-26-01,tcp,175.103.46.158,39804,175.110.114.80,25565,OUT.bound,,established,,,GB,ASNone ,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30T07:19:18.206000,
2023-11-30_14-26-01,tcp,175.103.46.158,49436,20.198.119.84,443,OUT.bound,https,established,,speedtest.c,IN,AS8075 microsoft corporation,,,,Cloud Provider IP range
2023-11-30_14-26-01,tcp,175.103.46.158,58532,175.110.114.80,25565,OUT.bound,,established,,,GB,ASNone ,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30T07:19:18.206000,
2023-11-30_14-26-01,tcp,175.103.46.158,34118,175.110.114.80,25565,OUT.bound,,established,,,GB,ASNone ,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30T07:19:18.206000,
2023-11-30_14-26-01,tcp,8.219.89.234,470,175.103.46.158,44752,IN.bound,scx-proxy,established,,speedtest.c,SG,AS45102 alibaba (us) technology co.  ltd.,,,,
2023-11-30_14-26-01,tcp,175.103.46.158,51732,175.110.114.80,25565,OUT.bound,,established,,,GB,ASNone ,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30T07:19:18.206000,
2023-11-30_14-26-01,tcp,175.103.46.158,56954,175.110.114.80,25565,OUT.bound,,established,,,GB,ASNone ,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30T07:19:18.206000,
2023-11-30_14-26-01,tcp,175.103.46.158,60202,175.110.114.80,25565,OUT.bound,,established,,,GB,ASNone ,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30T07:19:18.206000,
2023-11-30_14-26-01,tcp,175.103.46.158,54336,175.110.114.80,222,OUT.bound,rsh-spx,established,,,GB,ASNone ,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30T07:19:18.206000,
2023-11-30_14-26-01,tcp,175.103.46.158,58396,175.110.114.80,25565,OUT.bound,,established,,,GB,ASNone ,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30T07:19:18.206000,
2023-11-30_14-26-01,tcp,175.103.46.158,51536,175.110.114.80,25565,OUT.bound,,established,,,GB,ASNone ,ETIC Cybersecurity 2023-11-30 Port Scan,,2023-11-30T07:19:18.206000,
