session,protocol,src-address,src-port,dst-address,dst-port,flow,tcp-state,resolved,mark,cc,asn,threat,description,modified
2023-11-16_11-34-52,tcp,20.205.36.71,34788,10.0.0.4,179,IN.bound,established,,,HK,AS8075 microsoft corporation,,,
2023-11-16_11-34-52,udp,10.0.0.4,4500,20.205.36.71,4500,OUT.bound,,,,HK,AS8075 microsoft corporation,,,
2023-11-16_11-34-52,tcp,175.103.43.90,54751,10.0.0.4,7502,IN.bound,established,,,ID,AS38320 pt maxindo mitra solusi,,,
2023-11-16_11-34-52,udp,10.0.0.4,1701,20.205.36.71,1701,OUT.bound,,,,HK,AS8075 microsoft corporation,,,
2023-11-16_11-34-52,tcp,175.103.43.90,54750,10.0.0.4,7502,IN.bound,time-wait,,,ID,AS38320 pt maxindo mitra solusi,,,
2023-11-16_11-34-52,udp,51.158.156.235,5142,10.0.0.4,5060,IN.bound,,,,FR,AS12876 online s.a.s.,ETIC Cybersecurity 2023-11-15 Port Scan,,2023-11-15T22:59:53.097000
2023-11-16_11-35-05,tcp,20.205.36.71,34788,10.0.0.4,179,IN.bound,established,,,HK,AS8075 microsoft corporation,,,
2023-11-16_11-35-05,udp,10.0.0.4,4500,20.205.36.71,4500,OUT.bound,,,,HK,AS8075 microsoft corporation,,,
2023-11-16_11-35-05,udp,10.0.0.4,1701,20.205.36.71,1701,OUT.bound,,,,HK,AS8075 microsoft corporation,,,
2023-11-16_11-35-05,udp,51.158.156.235,5142,10.0.0.4,5060,IN.bound,,,,FR,AS12876 online s.a.s.,ETIC Cybersecurity 2023-11-15 Port Scan,,2023-11-15T22:59:53.097000
2023-11-16_12-04-42,tcp,20.205.36.71,34788,10.0.0.4,179,IN.bound,established,,,HK,AS8075 microsoft corporation,,,
2023-11-16_12-04-42,udp,194.233.83.164,4000,10.0.0.4,5060,IN.bound,,,,SG,AS141995 contabo asia private limited,ETIC Cybersecurity 2023-11-15 Port Scan,,2023-11-15T22:59:53.097000
2023-11-16_12-04-42,udp,10.0.0.4,4500,20.205.36.71,4500,OUT.bound,,,,HK,AS8075 microsoft corporation,,,
2023-11-16_12-04-42,tcp,175.103.43.90,55372,10.0.0.4,7502,IN.bound,time-wait,,,ID,AS38320 pt maxindo mitra solusi,,,
2023-11-16_12-04-42,udp,10.0.0.4,1701,20.205.36.71,1701,OUT.bound,,,,HK,AS8075 microsoft corporation,,,
2023-11-16_12-04-42,udp,51.158.156.235,5142,10.0.0.4,5060,IN.bound,,,,FR,AS12876 online s.a.s.,ETIC Cybersecurity 2023-11-15 Port Scan,,2023-11-15T22:59:53.097000
2023-11-16_12-04-42,tcp,175.103.43.90,55373,10.0.0.4,7502,IN.bound,established,,,ID,AS38320 pt maxindo mitra solusi,,,
2023-11-16_12-05-44,tcp,175.103.43.90,55433,10.0.0.4,7502,IN.bound,established,,,ID,AS38320 pt maxindo mitra solusi,,,
2023-11-16_12-05-44,tcp,20.205.36.71,34788,10.0.0.4,179,IN.bound,established,,,HK,AS8075 microsoft corporation,,,
2023-11-16_12-05-44,udp,194.233.83.164,4000,10.0.0.4,5060,IN.bound,,,,SG,AS141995 contabo asia private limited,ETIC Cybersecurity 2023-11-15 Port Scan,,2023-11-15T22:59:53.097000
2023-11-16_12-05-44,udp,10.0.0.4,4500,20.205.36.71,4500,OUT.bound,,,,HK,AS8075 microsoft corporation,,,
2023-11-16_12-05-44,udp,10.0.0.4,1701,20.205.36.71,1701,OUT.bound,,,,HK,AS8075 microsoft corporation,,,
