protocol,src-address,src-port,dst-address,dst-port,tcp-state,connection-mark,resolved
udp,0.0.0.0,20561,255.255.255.255,20561,,,
udp,192.168.1.15,4500,103.146.63.122,4500,,LOKAL.c,
tcp,192.168.1.15,63111,209.58.183.231,443,established,INTL.c,
udp,192.168.1.15,47280,122.144.2.204,443,,LOKAL.c,
icmp,175.103.43.90,,43.247.15.4,,,,
tcp,175.103.43.90,50164,43.247.15.4,8081,established,LOKAL.c,
udp,192.168.1.15,38703,167.179.67.29,21116,,INTL.c,
tcp,175.103.43.90,50088,43.247.15.4,899,established,,
tcp,175.103.43.90,55820,43.247.15.4,899,established,,
udp,192.168.1.15,43253,124.70.190.43,21116,,INTL.c,
udp,103.146.63.122,4500,43.247.15.4,4500,,,
tcp,192.168.1.15,56720,122.144.2.205,443,established,LOKAL.c,
tcp,192.168.1.15,47320,47.245.119.50,443,fin-wait,INTL.c,
tcp,192.168.1.15,56964,34.87.93.12,80,time-wait,LOKAL.c,
udp,192.168.1.15,42151,122.144.1.1,53,,LOKAL.c,
tcp,192.168.1.15,50808,34.141.79.142,443,established,LOKAL.c,
udp,10.172.41.51,40171,255.255.255.255,10002,,,
udp,192.168.1.15,53925,122.144.1.1,53,,LOKAL.c,
udp,10.172.40.2,5678,255.255.255.255,5678,,,
tcp,192.168.1.15,59706,74.125.130.94,80,established,LOKAL.c,
tcp,192.168.1.15,50524,142.250.4.93,443,established,LOKAL.c,
tcp,192.168.1.15,51440,208.67.222.222,853,established,INTL.c,
udp,10.172.41.58,45854,255.255.255.255,10002,,,
tcp,192.168.1.15,50526,142.250.4.93,443,established,LOKAL.c,
tcp,192.168.1.15,36427,47.241.191.117,31006,established,INTL.c,
tcp,192.168.1.15,50762,143.244.33.73,443,established,INTL.c,
tcp,192.168.1.15,52150,92.223.85.121,443,established,INTL.c,
tcp,192.168.1.15,43644,23.215.35.102,443,close,LOKAL.c,
udp,10.172.41.50,47414,255.255.255.255,10002,,,
udp,103.234.253.216,5678,255.255.255.255,5678,,,
udp,103.235.32.97,5678,255.255.255.255,5678,,,
udp,10.172.40.76,5678,255.255.255.255,5678,,,
tcp,192.168.1.15,45532,45.121.219.250,443,close,INTL.c,
udp,43.247.15.9,5678,255.255.255.255,5678,,,
udp,0.0.0.0,5678,255.255.255.255,5678,,,
udp,192.168.1.15,33903,8.222.222.85,6000,,INTL.c,
udp,192.168.1.15,56832,35.247.161.22,5683,,LOKAL.c,
udp,192.168.1.15,33903,47.236.14.98,6000,,INTL.c,
udp,10.172.40.59,48131,255.255.255.255,10002,,,
udp,192.168.1.15,41726,122.144.1.1,53,,LOKAL.c,
udp,10.10.10.2,5678,255.255.255.255,5678,,,
tcp,192.168.1.15,49142,92.223.85.164,443,established,INTL.c,
tcp,192.168.1.15,47512,47.245.119.50,443,established,INTL.c,
udp,192.168.1.15,40008,216.128.135.246,21116,,INTL.c,
tcp,192.168.1.15,43482,47.245.116.221,8820,established,INTL.c,
udp,10.172.40.91,36345,255.255.255.255,10002,,,
udp,10.172.40.90,48019,255.255.255.255,10002,,,
udp,192.168.1.15,39987,47.241.116.15,6000,,INTL.c,
udp,10.172.41.35,55166,255.255.255.255,10002,,,
tcp,175.103.43.90,50752,43.247.15.4,8278,established,,
udp,192.168.1.15,39987,47.241.61.177,6000,,INTL.c,
udp,43.247.15.4,56677,10.79.21.14,1812,,,
