protocol,src-address,src-port,dst-address,dst-port,flow,tcp-state,resolved,mark,cc,asn,threat,description,modified
tcp,119.110.75.182,45727,31.13.95.1,443,OUT.bound,established,,LOKAL.c,ID,AS32934 facebook  inc.,,,
tcp,103.28.106.25,443,119.110.75.182,32718,IN.bound,established,,,ID,AS58476 direktorat jenderal pajak,,,
tcp,119.110.75.182,1369,31.13.95.1,443,OUT.bound,established,,LOKAL.c,ID,AS32934 facebook  inc.,,,
tcp,157.240.208.61,443,119.110.75.182,27623,IN.bound,established,,,ID,AS32934 facebook  inc.,,,
tcp,103.207.103.233,443,119.110.75.182,60747,IN.bound,established,,,,ASNone ,,,
tcp,119.110.75.182,21891,31.13.95.35,443,OUT.bound,established,,LOKAL.c,ID,AS32934 facebook  inc.,IOC Records Provided by @NextRayAI,This IOC report provided and daily updated by NextRay AI Detection & Response Inc.,2023-11-16T20:30:53.391000
tcp,119.110.75.182,55894,31.13.95.34,443,OUT.bound,established,,LOKAL.c,ID,AS32934 facebook  inc.,IOC Records Provided by @NextRayAI,This IOC report provided and daily updated by NextRay AI Detection & Response Inc.,2023-11-16T20:30:53.391000
tcp,103.12.80.66,443,119.110.75.182,47864,IN.bound,established,,,ID,AS131723 kementerian keuangan ditjen bea cukai,,,
tcp,13.224.250.59,443,119.110.75.182,30827,IN.bound,established,,,US,AS16509 amazon.com inc,,,
tcp,157.240.235.61,5222,119.110.75.182,27487,IN.bound,established,,,SG,AS32934 facebook  inc.,,,
tcp,91.108.56.151,443,119.110.75.182,24160,IN.bound,established,,,AG,AS62014 telegram messenger inc,,,
tcp,52.223.40.198,443,119.110.75.182,46319,IN.bound,established,,,US,AS16509 amazon.com inc,:v3 - and the rest.... - www.tiuli.com/image/a057f08d1d773ab75e116ba4fffc595f.jpg?width=1080&#039;,,2023-05-08T02:00:47.680000
tcp,173.233.139.164,443,119.110.75.182,48853,IN.bound,established,,,US,AS7979 servers.com  inc.,,,
tcp,103.12.80.66,443,119.110.75.182,4263,IN.bound,established,,,ID,AS131723 kementerian keuangan ditjen bea cukai,,,
udp,172.168.3.254,4500,103.114.110.158,4500,Other,,,,,,,,
tcp,185.224.128.184,4531,119.110.75.183,80,IN.bound,established,,in-utamafo.c,NL,AS62068 spectraip b.v.,ETIC Cybersecurity 2023-11-20 Port Scan,,2023-11-20T04:40:26.799000
tcp,13.224.250.59,80,119.110.75.182,4231,IN.bound,established,,,US,AS16509 amazon.com inc,,,
tcp,119.110.75.182,6006,8.8.4.4,443,OUT.bound,established,,LOKAL.c,,,,,
tcp,185.224.128.184,26779,119.110.75.182,80,IN.bound,established,,,NL,AS62068 spectraip b.v.,ETIC Cybersecurity 2023-11-20 Port Scan,,2023-11-20T04:40:26.799000
tcp,103.207.103.233,443,119.110.75.182,18210,IN.bound,established,,,,ASNone ,,,
tcp,217.21.193.74,48417,175.103.38.206,80,IN.bound,established,,,NL,AS43366 osso b.v.,IOC Records Provided by @NextRayAI,This IOC report provided and daily updated by NextRay AI Detection & Response Inc.,2023-11-16T20:30:53.391000
tcp,54.93.209.232,443,119.110.75.182,43575,IN.bound,established,,,DE,AS16509 amazon.com inc,,,
tcp,185.224.128.184,31937,175.103.38.201,80,IN.bound,established,,,NL,AS62068 spectraip b.v.,ETIC Cybersecurity 2023-11-20 Port Scan,,2023-11-20T04:40:26.799000
tcp,103.12.80.3,443,119.110.75.182,42418,IN.bound,established,,,ID,AS131723 kementerian keuangan ditjen bea cukai,,,
tcp,119.110.75.182,29279,31.13.95.1,443,OUT.bound,established,,LOKAL.c,ID,AS32934 facebook  inc.,,,
tcp,103.12.80.52,443,119.110.75.182,22145,IN.bound,established,,,ID,AS131723 kementerian keuangan ditjen bea cukai,,,
tcp,103.12.80.66,443,119.110.75.182,45419,IN.bound,established,,,ID,AS131723 kementerian keuangan ditjen bea cukai,,,
tcp,23.48.173.9,443,119.110.75.182,25830,IN.bound,established,,,US,AS20940 akamai international b.v.,,,
tcp,103.12.80.66,443,119.110.75.182,50571,IN.bound,established,,,ID,AS131723 kementerian keuangan ditjen bea cukai,,,
tcp,103.207.103.233,443,119.110.75.182,59365,IN.bound,established,,,,ASNone ,,,
tcp,185.224.128.184,19111,175.103.38.206,80,IN.bound,established,,,NL,AS62068 spectraip b.v.,ETIC Cybersecurity 2023-11-20 Port Scan,,2023-11-20T04:40:26.799000
