name,data,.id,type,static,ttl,timestamp
,a.root-servers.net,*99E,NS,False,10h43m51s,2023-11-07 17:08:53 WIB
,b.root-servers.net,*99F,NS,False,10h43m51s,2023-11-07 17:08:53 WIB
,c.root-servers.net,*9A0,NS,False,10h43m51s,2023-11-07 17:08:53 WIB
,d.root-servers.net,*9A1,NS,False,10h43m51s,2023-11-07 17:08:53 WIB
,e.root-servers.net,*9A2,NS,False,10h43m51s,2023-11-07 17:08:53 WIB
,f.root-servers.net,*9A3,NS,False,10h43m51s,2023-11-07 17:08:53 WIB
,g.root-servers.net,*9A4,NS,False,10h43m51s,2023-11-07 17:08:53 WIB
,h.root-servers.net,*9A5,NS,False,10h43m51s,2023-11-07 17:08:53 WIB
,i.root-servers.net,*9A6,NS,False,10h43m51s,2023-11-07 17:08:53 WIB
,j.root-servers.net,*9A7,NS,False,10h43m51s,2023-11-07 17:08:53 WIB
,k.root-servers.net,*9A8,NS,False,10h43m51s,2023-11-07 17:08:53 WIB
,l.root-servers.net,*9A9,NS,False,10h43m51s,2023-11-07 17:08:53 WIB
,m.root-servers.net,*9AA,NS,False,10h43m51s,2023-11-07 17:08:53 WIB
prod.remote-settings.prod.webservices.mozgcp.net,34.149.100.209,*A4E,A,False,22s,2023-11-07 17:08:53 WIB
